,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2014-08-09,NLB 2014 Summer,SK Telecom T1 K,NaJin Black Sword,Win,SK Telecom T1 K,NaJin Black Sword,Blue,35:44,Zed,Orianna,5,2,4,4.5,332,,,-3,Ignite,Flash,"['Blade of the Ruined King', 'The Black Cleaver', 'Last Whisper', 'Boots of Mobility - Homeguard', 'Sword of the Occult', 'Negatron Cloak', 'Sweeping Lens']",Blade of the Ruined King,The Black Cleaver,Last Whisper,Boots of Mobility - Homeguard,Sword of the Occult,Negatron Cloak
1,2014-08-09,NLB 2014 Summer,SK Telecom T1 K,NaJin Black Sword,Win,NaJin Black Sword,SK Telecom T1 K,Red,36:43,Orianna,Syndra,6,3,16,7.33,340,,,53,Barrier,Flash,"[""Rabadon's Deathcap"", ""Zhonya's Hourglass"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Homeguard"", ""Doran's Ring"", 'Sweeping Lens']",Rabadon's Deathcap,Zhonya's Hourglass,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Homeguard,Doran's Ring
2,2014-08-09,NLB 2014 Summer,SK Telecom T1 K,NaJin Black Sword,Win,SK Telecom T1 K,NaJin Black Sword,Blue,30:25,Yasuo,Orianna,11,2,10,10.5,268,,,27,Exhaust,Flash,"['Infinity Edge', 'The Bloodthirster', 'Statikk Shiv', ""Mercury's Treads - Homeguard"", 'Hexdrinker', ""Doran's Blade"", 'Sweeping Lens']",Infinity Edge,The Bloodthirster,Statikk Shiv,Mercury's Treads - Homeguard,Hexdrinker,Doran's Blade
3,2014-08-05,NLB 2014 Summer,SK Telecom T1 K,Jin Air Green Wings Stealths,Win,Jin Air Green Wings Stealths,SK Telecom T1 K,Red,35:45,Kassadin,Yasuo,10,1,6,16.0,281,,,56,Ignite,Flash,"[""Zhonya's Hourglass"", 'Iceborn Gauntlet', 'Rod of Ages', 'Haunting Guise', ""Sorcerer's Shoes"", 'Blasting Wand', 'Sweeping Lens']",Zhonya's Hourglass,Iceborn Gauntlet,Rod of Ages,Haunting Guise,Sorcerer's Shoes,Blasting Wand
4,2014-08-05,NLB 2014 Summer,SK Telecom T1 K,Jin Air Green Wings Stealths,Loss,SK Telecom T1 K,Jin Air Green Wings Stealths,Blue,41:06,Kog'Maw,Yasuo,5,3,1,2.0,363,,,-7,Ghost,Flash,"[""Zhonya's Hourglass"", ""Seraph's Embrace"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Distortion"", ""Doran's Ring"", 'Sweeping Lens']",Zhonya's Hourglass,Seraph's Embrace,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Distortion,Doran's Ring
5,2014-08-05,NLB 2014 Summer,SK Telecom T1 K,Jin Air Green Wings Stealths,Loss,Jin Air Green Wings Stealths,SK Telecom T1 K,Red,34:11,Ryze,Yasuo,2,6,5,1.17,279,,,47,Ghost,Flash,"['Rod of Ages', ""Seraph's Embrace"", 'Frozen Heart', ""Sorcerer's Shoes"", 'Blasting Wand', 'Stealth Ward', 'Sweeping Lens']",Rod of Ages,Seraph's Embrace,Frozen Heart,Sorcerer's Shoes,Blasting Wand,Stealth Ward
6,2014-08-05,NLB 2014 Summer,SK Telecom T1 K,Jin Air Green Wings Stealths,Win,SK Telecom T1 K,Jin Air Green Wings Stealths,Blue,32:52,Yasuo,Ryze,7,3,8,5.0,298,,,49,Exhaust,Flash,"['Infinity Edge', 'Blade of the Ruined King', 'Statikk Shiv', ""Mercury's Treads"", 'Negatron Cloak', ""Doran's Blade"", 'Sweeping Lens']",Infinity Edge,Blade of the Ruined King,Statikk Shiv,Mercury's Treads,Negatron Cloak,Doran's Blade
7,2014-08-05,NLB 2014 Summer,SK Telecom T1 K,Jin Air Green Wings Stealths,Win,Jin Air Green Wings Stealths,SK Telecom T1 K,Red,46:43,Kog'Maw,Lulu,5,0,2,7.0,490,,,85,Ghost,Flash,"[""Rabadon's Deathcap"", ""Liandry's Torment"", ""Seraph's Embrace"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Distortion"", 'Sweeping Lens']",Rabadon's Deathcap,Liandry's Torment,Seraph's Embrace,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Distortion
8,2014-08-02,NLB 2014 Summer,SK Telecom T1 K,CJ Entus Frost,Win,SK Telecom T1 K,CJ Entus Frost,Blue,30:28,Ryze,Xerath,5,1,13,18.0,255,,,35,Ghost,Flash,"['Rod of Ages', ""Seraph's Embrace"", 'Frozen Heart', ""Spectre's Cowl"", ""Sorcerer's Shoes"", 'Kindlegem', 'Sweeping Lens']",Rod of Ages,Seraph's Embrace,Frozen Heart,Spectre's Cowl,Sorcerer's Shoes,Kindlegem
9,2014-08-02,NLB 2014 Summer,SK Telecom T1 K,CJ Entus Frost,Win,CJ Entus Frost,SK Telecom T1 K,Red,44:57,Kog'Maw,Ziggs,5,1,6,11.0,489,,,81,Ghost,Flash,"[""Rabadon's Deathcap"", ""Rylai's Crystal Scepter"", ""Seraph's Embrace"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Distortion"", 'Sweeping Lens']",Rabadon's Deathcap,Rylai's Crystal Scepter,Seraph's Embrace,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Distortion
