,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2014-01-25,Champions 2014 Winter,SK Telecom T1 K,Samsung Ozone,Win,Samsung Ozone,SK Telecom T1 K,Red,20:15,Riven,Gragas,5,0,6,11.0,167,8.5,,23,Ignite,Flash,"['The Bloodthirster', 'The Brutalizer', ""Doran's Blade"", 'Boots of Speed', 'EmptyIcon', 'EmptyIcon', 'Greater Totem']",The Bloodthirster,The Brutalizer,Doran's Blade,Boots of Speed,EmptyIcon,EmptyIcon
1,2014-01-25,Champions 2014 Winter,SK Telecom T1 K,Samsung Ozone,Win,SK Telecom T1 K,Samsung Ozone,Blue,30:34,Karthus,Yasuo,6,3,14,6.67,279,13.8,,2,Exhaust,Flash,"['Rod of Ages', 'Rod of Ages', ""Seraph's Embrace"", ""Seeker's Armguard"", ""Sorcerer's Shoes"", 'Null-Magic Mantle', 'Greater Totem']",Rod of Ages,Rod of Ages,Seraph's Embrace,Seeker's Armguard,Sorcerer's Shoes,Null-Magic Mantle
2,2014-01-25,Champions 2014 Winter,SK Telecom T1 K,Samsung Ozone,Win,Samsung Ozone,SK Telecom T1 K,Red,31:56,Riven,Gragas,7,3,6,4.33,239,12.7,,9,Ignite,Flash,"['The Bloodthirster', 'Last Whisper', 'Hexdrinker', 'The Brutalizer', ""Mercury's Treads"", 'Negatron Cloak', 'Greater Lens']",The Bloodthirster,Last Whisper,Hexdrinker,The Brutalizer,Mercury's Treads,Negatron Cloak
3,2014-01-08,Champions 2014 Winter,SK Telecom T1 K,KT Rolster Bullets,Win,KT Rolster Bullets,SK Telecom T1 K,Red,43:41,Riven,Gragas,11,3,4,5.0,339,17.6,,1,Ignite,Flash,"[""Warden's Mail"", 'The Bloodthirster', 'The Black Cleaver', 'Ninja Tabi - Homeguard', 'Spirit Visage', 'Last Whisper', 'Greater Totem']",Warden's Mail,The Bloodthirster,The Black Cleaver,Ninja Tabi - Homeguard,Spirit Visage,Last Whisper
4,2014-01-08,Champions 2014 Winter,SK Telecom T1 K,KT Rolster Bullets,Win,SK Telecom T1 K,KT Rolster Bullets,Blue,31:10,Gragas,Nidalee,4,0,5,9.0,258,12.3,,59,Ignite,Flash,"[""Doran's Ring"", ""Sorcerer's Shoes - Homeguard"", ""Athene's Unholy Grail"", ""Doran's Ring"", 'Void Staff', 'Needlessly Large Rod', 'Greater Totem']",Doran's Ring,Sorcerer's Shoes - Homeguard,Athene's Unholy Grail,Doran's Ring,Void Staff,Needlessly Large Rod
5,2014-01-08,Champions 2014 Winter,SK Telecom T1 K,KT Rolster Bullets,Win,KT Rolster Bullets,SK Telecom T1 K,Red,44:20,LeBlanc,Gragas,4,5,5,1.8,319,16.4,,-68,Ignite,Flash,"['Deathfire Grasp', ""Athene's Unholy Grail"", ""Sorcerer's Shoes - Homeguard"", ""Rabadon's Deathcap"", 'Void Staff', 'EmptyIcon', 'Greater Lens']",Deathfire Grasp,Athene's Unholy Grail,Sorcerer's Shoes - Homeguard,Rabadon's Deathcap,Void Staff,EmptyIcon
6,2013-12-25,Champions 2014 Winter,SK Telecom T1 K,Samsung Blue,Win,Samsung Blue,SK Telecom T1 K,Red,28:46,Orianna,Lulu,6,3,8,4.67,272,13.4,,86,Ignite,Flash,"[""Rabadon's Deathcap"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes"", ""Doran's Ring"", 'Cloth Armor', 'Greater Lens']",Rabadon's Deathcap,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes,Doran's Ring,Cloth Armor
7,2013-12-25,Champions 2014 Winter,SK Telecom T1 K,Samsung Blue,Win,SK Telecom T1 K,Samsung Blue,Blue,36:24,Nidalee,Katarina,7,1,8,15.0,290,14.9,,76,Barrier,Flash,"[""Rabadon's Deathcap"", ""Athene's Unholy Grail"", 'Void Staff', 'Needlessly Large Rod', ""Sorcerer's Shoes"", ""Doran's Ring"", 'Greater Lens']",Rabadon's Deathcap,Athene's Unholy Grail,Void Staff,Needlessly Large Rod,Sorcerer's Shoes,Doran's Ring
8,2013-12-25,Champions 2014 Winter,SK Telecom T1 K,Samsung Blue,Win,Samsung Blue,SK Telecom T1 K,Red,25:11,Kassadin,Nidalee,3,1,9,12.0,159,10.0,,16,Ignite,Flash,"[""Seraph's Embrace"", 'Void Staff', ""Sorcerer's Shoes - Homeguard"", ""Doran's Ring"", 'Crystalline Flask', 'EmptyIcon', 'Greater Totem']",Seraph's Embrace,Void Staff,Sorcerer's Shoes - Homeguard,Doran's Ring,Crystalline Flask,EmptyIcon
9,2013-12-07,Champions 2014 Winter,SK Telecom T1 K,CJ Entus Blaze,Win,CJ Entus Blaze,SK Telecom T1 K,Red,52:22,Nidalee,Gragas,3,2,9,6.0,411,19.8,,-44,Barrier,Flash,"[""Rabadon's Deathcap"", ""Zhonya's Hourglass"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Homeguard"", 'Fiendish Codex', 'Greater Stealth Totem']",Rabadon's Deathcap,Zhonya's Hourglass,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Homeguard,Fiendish Codex
