,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2016-05-15,MSI 2016,SK Telecom T1,Counter Logic Gaming,Win,Counter Logic Gaming,SK Telecom T1,Red,37:25,Ryze,Cassiopeia,6,1,8,14.0,302,16.6,,45,Exhaust,Flash,"[""Seraph's Embrace"", 'Quicksilver Sash', 'Rod of Ages', 'Boots of Swiftness - Distortion', ""Rabadon's Deathcap"", 'Void Staff', 'Warding Totem']",Seraph's Embrace,Quicksilver Sash,Rod of Ages,Boots of Swiftness - Distortion,Rabadon's Deathcap,Void Staff
1,2016-05-15,MSI 2016,SK Telecom T1,Counter Logic Gaming,Win,Counter Logic Gaming,SK Telecom T1,Red,34:28,Azir,Ekko,8,4,5,3.25,286,15.6,,76,Exhaust,Flash,"[""Doran's Ring"", 'Needlessly Large Rod', ""Nashor's Tooth"", ""Rylai's Crystal Scepter"", ""Sorcerer's Shoes"", 'Void Staff', 'Warding Totem']",Doran's Ring,Needlessly Large Rod,Nashor's Tooth,Rylai's Crystal Scepter,Sorcerer's Shoes,Void Staff
2,2016-05-15,MSI 2016,SK Telecom T1,Counter Logic Gaming,Win,Counter Logic Gaming,SK Telecom T1,Red,34:54,Azir,Ekko,4,3,7,3.67,314,14.6,,17,Exhaust,Flash,"[""Doran's Ring"", ""Nashor's Tooth"", ""Rylai's Crystal Scepter"", ""Sorcerer's Shoes"", 'Needlessly Large Rod', 'Void Staff', 'Farsight Alteration']",Doran's Ring,Nashor's Tooth,Rylai's Crystal Scepter,Sorcerer's Shoes,Needlessly Large Rod,Void Staff
3,2016-05-13,MSI 2016,SK Telecom T1,Royal Never Give Up,Win,Royal Never Give Up,SK Telecom T1,Red,27:55,Ryze,Azir,3,0,4,7.0,233,11.9,,17,Teleport,Flash,"[""Seraph's Embrace"", 'Refillable Potion', 'Boots of Swiftness - Distortion', 'Rod of Ages', 'Guardian Angel', 'EmptyIcon', 'Warding Totem']",Seraph's Embrace,Refillable Potion,Boots of Swiftness - Distortion,Rod of Ages,Guardian Angel,EmptyIcon
4,2016-05-13,MSI 2016,SK Telecom T1,Royal Never Give Up,Win,Royal Never Give Up,SK Telecom T1,Red,36:23,Fizz,Azir,7,4,6,3.25,318,16.7,,11,Teleport,Flash,"[""Zhonya's Hourglass"", 'Abyssal Scepter', 'Needlessly Large Rod', 'Lich Bane', 'Ionian Boots of Lucidity - Distortion', 'Void Staff', 'Warding Totem']",Zhonya's Hourglass,Abyssal Scepter,Needlessly Large Rod,Lich Bane,Ionian Boots of Lucidity - Distortion,Void Staff
5,2016-05-13,MSI 2016,SK Telecom T1,Royal Never Give Up,Win,Royal Never Give Up,SK Telecom T1,Red,23:32,Azir,LeBlanc,7,0,6,13.0,170,11.0,,21,Exhaust,Flash,"[""Doran's Ring"", 'Needlessly Large Rod', ""Giant's Belt"", 'Abyssal Scepter', ""Nashor's Tooth"", ""Sorcerer's Shoes"", 'Warding Totem']",Doran's Ring,Needlessly Large Rod,Giant's Belt,Abyssal Scepter,Nashor's Tooth,Sorcerer's Shoes
6,2016-05-13,MSI 2016,SK Telecom T1,Royal Never Give Up,Loss,Royal Never Give Up,SK Telecom T1,Red,41:50,Fizz,LeBlanc,7,3,4,3.67,319,15.5,,-35,Teleport,Flash,"[""Zhonya's Hourglass"", 'Abyssal Scepter', 'Ionian Boots of Lucidity - Distortion', 'Lich Bane', 'Corrupting Potion', 'Needlessly Large Rod', 'Warding Totem']",Zhonya's Hourglass,Abyssal Scepter,Ionian Boots of Lucidity - Distortion,Lich Bane,Corrupting Potion,Needlessly Large Rod
7,2016-05-08,MSI 2016,SK Telecom T1,Royal Never Give Up,Win,Royal Never Give Up,SK Telecom T1,Red,54:05,Lulu,Ryze,3,5,12,3.0,405,19.8,,-81,Ignite,Flash,"['Void Staff', 'Morellonomicon', 'Abyssal Scepter', ""Sorcerer's Shoes"", ""Rabadon's Deathcap"", 'Lich Bane', 'Oracle Alteration']",Void Staff,Morellonomicon,Abyssal Scepter,Sorcerer's Shoes,Rabadon's Deathcap,Lich Bane
8,2016-05-08,MSI 2016,SK Telecom T1,G2 Esports,Win,SK Telecom T1,G2 Esports,Blue,29:13,Ryze,Azir,2,2,8,5.0,244,11.9,,-13,Teleport,Flash,"[""Seraph's Embrace"", 'Refillable Potion', 'Rod of Ages', ""Sorcerer's Shoes - Distortion"", 'Void Staff', 'Vision Ward', 'Warding Totem']",Seraph's Embrace,Refillable Potion,Rod of Ages,Sorcerer's Shoes - Distortion,Void Staff,Vision Ward
9,2016-05-07,MSI 2016,SK Telecom T1,SuperMassive Esports,Win,SuperMassive Esports,SK Telecom T1,Red,28:27,Azir,Lissandra,7,1,5,12.0,316,15.2,,67,Cleanse,Flash,"[""Doran's Ring"", ""Nashor's Tooth"", 'Needlessly Large Rod', ""Rylai's Crystal Scepter"", 'Void Staff', ""Sorcerer's Shoes"", 'Warding Totem']",Doran's Ring,Nashor's Tooth,Needlessly Large Rod,Rylai's Crystal Scepter,Void Staff,Sorcerer's Shoes
