,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2016-04-08,LCK 2016 Spring,SK Telecom T1,SBENU Sonicboom,Win,SBENU Sonicboom,SK Telecom T1,Red,28:31,Twisted Fate,Karma,5,0,14,19.0,226,13.7,,66,Ignite,Flash,"[""Zhonya's Hourglass"", 'Ionian Boots of Lucidity - Distortion', 'Abyssal Scepter', 'Needlessly Large Rod', 'Lich Bane', ""Doran's Ring"", 'Warding Totem']",Zhonya's Hourglass,Ionian Boots of Lucidity - Distortion,Abyssal Scepter,Needlessly Large Rod,Lich Bane,Doran's Ring
1,2016-04-08,LCK 2016 Spring,SK Telecom T1,SBENU Sonicboom,Win,SK Telecom T1,SBENU Sonicboom,Blue,33:51,Corki,Ekko,1,2,7,4.0,301,14.0,,69,Exhaust,Flash,"['Corrupting Potion', ""Doran's Blade"", 'Trinity Force (0.9.25.21 - 10.22)', 'Infinity Edge', ""Sorcerer's Shoes"", 'Rapid Firecannon', 'Warding Totem']",Corrupting Potion,Doran's Blade,Trinity Force (0.9.25.21 - 10.22),Infinity Edge,Sorcerer's Shoes,Rapid Firecannon
2,2016-04-06,LCK 2016 Spring,SK Telecom T1,KT Rolster,Loss,SK Telecom T1,KT Rolster,Blue,43:58,Lissandra,Gangplank,4,6,7,1.83,371,16.5,,47,Teleport,Flash,"[""Zhonya's Hourglass"", 'Rod of Ages', 'Ionian Boots of Lucidity - Distortion', 'Abyssal Scepter', 'Morellonomicon', 'Blasting Wand', 'Farsight Alteration']",Zhonya's Hourglass,Rod of Ages,Ionian Boots of Lucidity - Distortion,Abyssal Scepter,Morellonomicon,Blasting Wand
3,2016-04-06,LCK 2016 Spring,SK Telecom T1,KT Rolster,Loss,KT Rolster,SK Telecom T1,Red,45:27,Karma,Lissandra,1,7,8,1.29,323,17.1,,-8,Teleport,Flash,"[""Frost Queen's Claim"", ""Luden's Echo"", 'Ionian Boots of Lucidity - Distortion', ""Rabadon's Deathcap"", 'Abyssal Scepter', 'Void Staff', 'Warding Totem']",Frost Queen's Claim,Luden's Echo,Ionian Boots of Lucidity - Distortion,Rabadon's Deathcap,Abyssal Scepter,Void Staff
4,2016-04-02,LCK 2016 Spring,SK Telecom T1,Samsung Galaxy,Win,SK Telecom T1,Samsung Galaxy,Blue,37:10,Karma,Lulu,2,0,1,3.0,289,15.1,,-31,Teleport,Flash,"[""Frost Queen's Claim"", 'Needlessly Large Rod', 'Ionian Boots of Lucidity', ""Rabadon's Deathcap"", 'Void Staff', 'Ardent Censer', 'Farsight Alteration']",Frost Queen's Claim,Needlessly Large Rod,Ionian Boots of Lucidity,Rabadon's Deathcap,Void Staff,Ardent Censer
5,2016-04-02,LCK 2016 Spring,SK Telecom T1,Samsung Galaxy,Win,Samsung Galaxy,SK Telecom T1,Red,29:44,Lissandra,Azir,2,0,13,15.0,281,13.0,,-17,Teleport,Flash,"[""Zhonya's Hourglass"", 'Rod of Ages', 'Ionian Boots of Lucidity', 'Abyssal Scepter', ""Doran's Ring"", 'Needlessly Large Rod', 'Farsight Alteration']",Zhonya's Hourglass,Rod of Ages,Ionian Boots of Lucidity,Abyssal Scepter,Doran's Ring,Needlessly Large Rod
6,2016-04-02,LCK 2016 Spring,SK Telecom T1,Samsung Galaxy,Loss,SK Telecom T1,Samsung Galaxy,Blue,34:18,Jayce,Lulu,0,3,1,0.33,289,11.3,,-22,Exhaust,Flash,"[""Youmuu's Ghostblade"", 'Muramana', 'Ionian Boots of Lucidity', ""Doran's Blade"", ""Lord Dominik's Regards"", 'Long Sword', 'Farsight Alteration']",Youmuu's Ghostblade,Muramana,Ionian Boots of Lucidity,Doran's Blade,Lord Dominik's Regards,Long Sword
7,2016-03-31,LCK 2016 Spring,SK Telecom T1,Kongdoo Monster,Win,SK Telecom T1,Kongdoo Monster,Blue,40:16,Corki,Azir,1,4,7,2.0,367,15.7,,-4,Exhaust,Flash,"['Corrupting Potion', 'Trinity Force (0.9.25.21 - 10.22)', 'Infinity Edge', ""Sorcerer's Shoes"", 'Rapid Firecannon', 'Void Staff', 'Farsight Alteration']",Corrupting Potion,Trinity Force (0.9.25.21 - 10.22),Infinity Edge,Sorcerer's Shoes,Rapid Firecannon,Void Staff
8,2016-03-31,LCK 2016 Spring,SK Telecom T1,Kongdoo Monster,Win,Kongdoo Monster,SK Telecom T1,Red,22:36,Azir,LeBlanc,3,0,2,5.0,220,10.0,,42,Heal,Flash,"[""Doran's Ring"", 'Abyssal Scepter', 'Needlessly Large Rod', 'Refillable Potion', ""Nashor's Tooth"", ""Sorcerer's Shoes"", 'Oracle Alteration']",Doran's Ring,Abyssal Scepter,Needlessly Large Rod,Refillable Potion,Nashor's Tooth,Sorcerer's Shoes
9,2016-03-26,LCK 2016 Spring,SK Telecom T1,CJ Entus,Win,CJ Entus,SK Telecom T1,Red,33:11,Fizz,Varus,1,3,6,2.33,251,13.0,,-37,Ignite,Flash,"[""Zhonya's Hourglass"", ""Rabadon's Deathcap"", 'Ionian Boots of Lucidity', 'Lich Bane', 'EmptyIcon', 'EmptyIcon', 'Farsight Alteration']",Zhonya's Hourglass,Rabadon's Deathcap,Ionian Boots of Lucidity,Lich Bane,EmptyIcon,EmptyIcon
10,2016-03-26,LCK 2016 Spring,SK Telecom T1,CJ Entus,Win,SK Telecom T1,CJ Entus,Blue,45:57,Azir,LeBlanc,2,4,5,1.75,411,18.4,,103,Heal,Flash,"['Void Staff', 'Abyssal Scepter', ""Rabadon's Deathcap"", ""Nashor's Tooth"", ""Rylai's Crystal Scepter"", ""Sorcerer's Shoes"", 'Farsight Alteration']",Void Staff,Abyssal Scepter,Rabadon's Deathcap,Nashor's Tooth,Rylai's Crystal Scepter,Sorcerer's Shoes
11,2016-03-24,LCK 2016 Spring,SK Telecom T1,Longzhu Gaming,Win,SK Telecom T1,Longzhu Gaming,Blue,27:34,Azir,Lulu,1,0,10,11.0,242,12.3,,34,Heal,Flash,"[""Doran's Ring"", ""Sorcerer's Shoes"", ""Nashor's Tooth"", 'Refillable Potion', ""Rylai's Crystal Scepter"", 'Needlessly Large Rod', 'Farsight Alteration']",Doran's Ring,Sorcerer's Shoes,Nashor's Tooth,Refillable Potion,Rylai's Crystal Scepter,Needlessly Large Rod
