,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2016-04-23,LCK 2016 Spring Playoffs,SK Telecom T1,ROX Tigers,Win,ROX Tigers,SK Telecom T1,Red,49:58,Cassiopeia,Lissandra,5,1,6,11.0,397,19.5,,-9,Cleanse,Flash,"[""Seraph's Embrace"", 'Void Staff', 'Boots of Swiftness', 'Abyssal Scepter', ""Rylai's Crystal Scepter"", ""Rabadon's Deathcap"", 'Warding Totem']",Seraph's Embrace,Void Staff,Boots of Swiftness,Abyssal Scepter,Rylai's Crystal Scepter,Rabadon's Deathcap
1,2016-04-23,LCK 2016 Spring Playoffs,SK Telecom T1,ROX Tigers,Win,SK Telecom T1,ROX Tigers,Blue,37:46,Vel'Koz,Lissandra,2,5,8,2.0,266,13.8,,-67,Cleanse,Flash,"[""Frost Queen's Claim"", ""Doran's Ring"", ""Sorcerer's Shoes"", 'Morellonomicon', ""Liandry's Torment"", 'Void Staff', 'Farsight Alteration']",Frost Queen's Claim,Doran's Ring,Sorcerer's Shoes,Morellonomicon,Liandry's Torment,Void Staff
2,2016-04-23,LCK 2016 Spring Playoffs,SK Telecom T1,ROX Tigers,Loss,ROX Tigers,SK Telecom T1,Red,38:25,Azir,Corki,4,2,3,3.5,356,15.0,,-9,Heal,Flash,"['Needlessly Large Rod', ""Nashor's Tooth"", 'Abyssal Scepter', ""Sorcerer's Shoes"", ""Rylai's Crystal Scepter"", 'Void Staff', 'Warding Totem']",Needlessly Large Rod,Nashor's Tooth,Abyssal Scepter,Sorcerer's Shoes,Rylai's Crystal Scepter,Void Staff
3,2016-04-23,LCK 2016 Spring Playoffs,SK Telecom T1,ROX Tigers,Win,SK Telecom T1,ROX Tigers,Blue,28:47,Zilean,Corki,0,1,8,8.0,275,12.6,,41,Teleport,Flash,"[""Doran's Ring"", 'Rod of Ages', ""Sorcerer's Shoes"", 'Morellonomicon', ""Rabadon's Deathcap"", 'Blasting Wand', 'Warding Totem']",Doran's Ring,Rod of Ages,Sorcerer's Shoes,Morellonomicon,Rabadon's Deathcap,Blasting Wand
4,2016-04-16,LCK 2016 Spring Playoffs,SK Telecom T1,KT Rolster,Win,SK Telecom T1,KT Rolster,Blue,27:07,Ekko,Corki,7,2,6,6.5,218,12.9,,-2,Teleport,Flash,"['Corrupting Potion', ""Mejai's Soulstealer"", 'Abyssal Scepter', ""Sorcerer's Shoes - Distortion"", 'Morellonomicon', ""Seeker's Armguard"", 'Warding Totem']",Corrupting Potion,Mejai's Soulstealer,Abyssal Scepter,Sorcerer's Shoes - Distortion,Morellonomicon,Seeker's Armguard
5,2016-04-16,LCK 2016 Spring Playoffs,SK Telecom T1,KT Rolster,Win,KT Rolster,SK Telecom T1,Red,29:45,Zilean,Corki,3,1,5,8.0,249,12.3,,-11,Teleport,Flash,"[""Doran's Ring"", 'Rod of Ages', ""Sorcerer's Shoes"", 'Morellonomicon', ""Rabadon's Deathcap"", 'Blasting Wand', 'Warding Totem']",Doran's Ring,Rod of Ages,Sorcerer's Shoes,Morellonomicon,Rabadon's Deathcap,Blasting Wand
6,2016-04-16,LCK 2016 Spring Playoffs,SK Telecom T1,KT Rolster,Win,SK Telecom T1,KT Rolster,Blue,44:32,Lissandra,Varus,3,3,5,2.67,386,18.0,,47,Teleport,Flash,"[""Zhonya's Hourglass"", 'Rod of Ages', 'Ionian Boots of Lucidity - Distortion', 'Blasting Wand', ""Rabadon's Deathcap"", 'Void Staff', 'Warding Totem']",Zhonya's Hourglass,Rod of Ages,Ionian Boots of Lucidity - Distortion,Blasting Wand,Rabadon's Deathcap,Void Staff
7,2016-04-15,LCK 2016 Spring Playoffs,SK Telecom T1,Jin Air Green Wings,Win,Jin Air Green Wings,SK Telecom T1,Red,40:58,Twisted Fate,Lulu,9,2,4,6.5,299,18.8,,-4,Ignite,Flash,"[""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', ""Rabadon's Deathcap"", 'Lich Bane', 'Abyssal Scepter', 'Void Staff', 'Warding Totem']",Zhonya's Hourglass,Ionian Boots of Lucidity,Rabadon's Deathcap,Lich Bane,Abyssal Scepter,Void Staff
8,2016-04-15,LCK 2016 Spring Playoffs,SK Telecom T1,Jin Air Green Wings,Win,Jin Air Green Wings,SK Telecom T1,Red,34:43,Cassiopeia,Ryze,0,0,4,4.0,295,13.7,,34,Exhaust,Flash,"[""Seraph's Embrace"", 'Abyssal Scepter', ""Doran's Ring"", 'Boots of Swiftness', ""Rylai's Crystal Scepter"", 'Needlessly Large Rod', 'Warding Totem']",Seraph's Embrace,Abyssal Scepter,Doran's Ring,Boots of Swiftness,Rylai's Crystal Scepter,Needlessly Large Rod
9,2016-04-15,LCK 2016 Spring Playoffs,SK Telecom T1,Jin Air Green Wings,Loss,Jin Air Green Wings,SK Telecom T1,Red,60:18,Lissandra,Azir,3,2,7,5.0,498,23.5,,18,Teleport,Flash,"[""Zhonya's Hourglass"", 'Rod of Ages', ""Rabadon's Deathcap"", 'Ionian Boots of Lucidity - Distortion', 'Abyssal Scepter', 'Void Staff', 'Warding Totem']",Zhonya's Hourglass,Rod of Ages,Rabadon's Deathcap,Ionian Boots of Lucidity - Distortion,Abyssal Scepter,Void Staff
10,2016-04-15,LCK 2016 Spring Playoffs,SK Telecom T1,Jin Air Green Wings,Win,Jin Air Green Wings,SK Telecom T1,Red,45:44,Zilean,Lissandra,2,0,10,12.0,387,18.0,,-10,Teleport,Flash,"[""Seraph's Embrace"", 'Morellonomicon', 'Rod of Ages', ""Sorcerer's Shoes - Distortion"", ""Rabadon's Deathcap"", 'Void Staff', 'Warding Totem']",Seraph's Embrace,Morellonomicon,Rod of Ages,Sorcerer's Shoes - Distortion,Rabadon's Deathcap,Void Staff
