,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2016-10-30,Worlds 2016,SK Telecom T1,Samsung Galaxy,Win,Samsung Galaxy,SK Telecom T1,Red,49:11,Viktor,Cassiopeia,6,2,4,5.0,534,24.5,,66,Ghost,Flash,"['Perfect Hex Core', 'Lich Bane', 'Ionian Boots of Lucidity', ""Rabadon's Deathcap"", 'Void Staff', ""Rylai's Crystal Scepter"", 'Farsight Alteration']",Perfect Hex Core,Lich Bane,Ionian Boots of Lucidity,Rabadon's Deathcap,Void Staff,Rylai's Crystal Scepter
1,2016-10-30,Worlds 2016,SK Telecom T1,Samsung Galaxy,Loss,SK Telecom T1,Samsung Galaxy,Blue,46:01,Orianna,Viktor,2,5,7,1.8,427,17.3,,30,Ghost,Flash,"[""Doran's Ring"", ""Rabadon's Deathcap"", ""Sorcerer's Shoes"", ""Luden's Echo"", 'Morellonomicon', 'Void Staff', 'Farsight Alteration']",Doran's Ring,Rabadon's Deathcap,Sorcerer's Shoes,Luden's Echo,Morellonomicon,Void Staff
2,2016-10-30,Worlds 2016,SK Telecom T1,Samsung Galaxy,Loss,Samsung Galaxy,SK Telecom T1,Red,71:20,Orianna,Aurelion Sol,7,5,4,2.2,658,31.0,,156,Ghost,Flash,"[""Zhonya's Hourglass"", 'Morellonomicon', ""Sorcerer's Shoes"", 'Void Staff', ""Luden's Echo"", ""Rabadon's Deathcap"", 'Farsight Alteration']",Zhonya's Hourglass,Morellonomicon,Sorcerer's Shoes,Void Staff,Luden's Echo,Rabadon's Deathcap
3,2016-10-30,Worlds 2016,SK Telecom T1,Samsung Galaxy,Win,SK Telecom T1,Samsung Galaxy,Blue,31:26,Ryze,Cassiopeia,6,0,5,11.0,325,15.7,,55,Ghost,Flash,"[""Seraph's Embrace"", 'Needlessly Large Rod', 'Rod of Ages', 'Ionian Boots of Lucidity', 'Abyssal Scepter', 'Void Staff', 'Farsight Alteration']",Seraph's Embrace,Needlessly Large Rod,Rod of Ages,Ionian Boots of Lucidity,Abyssal Scepter,Void Staff
4,2016-10-29,Worlds 2016,SK Telecom T1,Samsung Galaxy,Win,Samsung Galaxy,SK Telecom T1,Red,54:41,Orianna,Viktor,3,4,2,1.25,565,24.8,,7,Ghost,Flash,"[""Zhonya's Hourglass"", 'Morellonomicon', ""Liandry's Torment"", ""Sorcerer's Shoes"", ""Rabadon's Deathcap"", 'Void Staff', 'Farsight Alteration']",Zhonya's Hourglass,Morellonomicon,Liandry's Torment,Sorcerer's Shoes,Rabadon's Deathcap,Void Staff
5,2016-10-22,Worlds 2016,SK Telecom T1,ROX Tigers,Win,ROX Tigers,SK Telecom T1,Red,42:28,Orianna,Karma,1,1,8,9.0,429,19.0,,90,Ghost,Flash,"[""Zhonya's Hourglass"", 'Morellonomicon', 'Void Staff', ""Sorcerer's Shoes"", ""Rabadon's Deathcap"", ""Luden's Echo"", 'Farsight Alteration']",Zhonya's Hourglass,Morellonomicon,Void Staff,Sorcerer's Shoes,Rabadon's Deathcap,Luden's Echo
6,2016-10-22,Worlds 2016,SK Telecom T1,ROX Tigers,Win,SK Telecom T1,ROX Tigers,Blue,42:57,Zilean,Viktor,5,2,5,5.0,365,18.3,,-16,Teleport,Flash,"[""Luden's Echo"", 'Rod of Ages', 'Ionian Boots of Lucidity', ""Rabadon's Deathcap"", 'Morellonomicon', 'Void Staff', 'Farsight Alteration']",Luden's Echo,Rod of Ages,Ionian Boots of Lucidity,Rabadon's Deathcap,Morellonomicon,Void Staff
7,2016-10-22,Worlds 2016,SK Telecom T1,ROX Tigers,Loss,ROX Tigers,SK Telecom T1,Red,39:20,Orianna,Viktor,3,2,4,3.5,365,14.9,,24,Ghost,Flash,"[""Doran's Ring"", 'Morellonomicon', ""Sorcerer's Shoes"", ""Luden's Echo"", 'Blasting Wand', ""Rabadon's Deathcap"", 'Farsight Alteration']",Doran's Ring,Morellonomicon,Sorcerer's Shoes,Luden's Echo,Blasting Wand,Rabadon's Deathcap
8,2016-10-21,Worlds 2016,SK Telecom T1,ROX Tigers,Loss,SK Telecom T1,ROX Tigers,Blue,33:22,Viktor,Karma,4,4,4,2.0,363,14.8,,103,Ghost,Flash,"['Perfect Hex Core', ""Doran's Ring"", 'Ionian Boots of Lucidity', 'Lich Bane', 'Void Staff', ""Rylai's Crystal Scepter"", 'Farsight Alteration']",Perfect Hex Core,Doran's Ring,Ionian Boots of Lucidity,Lich Bane,Void Staff,Rylai's Crystal Scepter
9,2016-10-21,Worlds 2016,SK Telecom T1,ROX Tigers,Win,ROX Tigers,SK Telecom T1,Red,43:36,Orianna,Viktor,4,2,5,4.5,391,18.8,,8,Ghost,Flash,"['Fiendish Codex', 'Morellonomicon', ""Luden's Echo"", ""Sorcerer's Shoes"", 'Void Staff', ""Rabadon's Deathcap"", 'Warding Totem']",Fiendish Codex,Morellonomicon,Luden's Echo,Sorcerer's Shoes,Void Staff,Rabadon's Deathcap
