,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2020-08-23,LCK 2020 Summer,T1,DRX,Loss,DRX,T1,Red,38:08,Galio,Twisted Fate,0,4,4,1.0,326,12.8,13.6,-105,Teleport,Flash,"['Hextech Protobelt-01', ""Zhonya's Hourglass"", 'Stopwatch', ""Mercury's Treads"", ""Rabadon's Deathcap"", 'Blasting Wand', 'Farsight Alteration']",Hextech Protobelt-01,Zhonya's Hourglass,Stopwatch,Mercury's Treads,Rabadon's Deathcap,Blasting Wand
1,2020-07-25,LCK 2020 Summer,T1,Hanwha Life Esports,Win,Hanwha Life Esports,T1,Red,26:27,Sett,Sylas,2,2,6,4.0,230,11.1,12.9,52,Ghost,Flash,"['Control Ward', 'Trinity Force (0.9.25.21 - 10.22)', ""Mercury's Treads"", ""Doran's Blade"", ""Dead Man's Plate"", 'EmptyIcon', 'Warding Totem']",Control Ward,Trinity Force (0.9.25.21 - 10.22),Mercury's Treads,Doran's Blade,Dead Man's Plate,EmptyIcon
2,2020-07-25,LCK 2020 Summer,T1,Hanwha Life Esports,Win,T1,Hanwha Life Esports,Blue,25:23,Zoe,Karma,2,2,3,2.5,223,10.1,8.9,42,Teleport,Flash,"['Broken Stopwatch', 'Fiendish Codex', 'Morellonomicon', 'Dark Seal', ""Luden's Echo"", ""Sorcerer's Shoes"", 'Farsight Alteration']",Broken Stopwatch,Fiendish Codex,Morellonomicon,Dark Seal,Luden's Echo,Sorcerer's Shoes
3,2020-07-25,LCK 2020 Summer,T1,Hanwha Life Esports,Loss,Hanwha Life Esports,T1,Red,30:01,Zoe,Galio,0,2,2,1.0,241,10.5,16.8,10,Teleport,Flash,"['Amplifying Tome', 'Broken Stopwatch', 'Morellonomicon', 'Blasting Wand', ""Sorcerer's Shoes"", ""Luden's Echo"", 'Farsight Alteration']",Amplifying Tome,Broken Stopwatch,Morellonomicon,Blasting Wand,Sorcerer's Shoes,Luden's Echo
4,2020-07-18,LCK 2020 Summer,T1,Gen.G,Loss,Gen.G,T1,Red,30:38,Neeko,Zoe,1,3,6,2.33,241,10.0,,-6,Teleport,Flash,"['Hextech GLP-800', ""Zhonya's Hourglass"", 'Aether Wisp', ""Mercury's Treads"", 'Dark Seal', 'Fiendish Codex', 'Farsight Alteration']",Hextech GLP-800,Zhonya's Hourglass,Aether Wisp,Mercury's Treads,Dark Seal,Fiendish Codex
5,2020-07-18,LCK 2020 Summer,T1,Gen.G,Loss,T1,Gen.G,Blue,35:59,Akali,Orianna,2,3,2,1.33,305,12.7,,-37,Teleport,Flash,"['Hextech Gunblade', ""Zhonya's Hourglass"", 'Control Ward', ""Sorcerer's Shoes"", 'Needlessly Large Rod', 'Morellonomicon', 'Warding Totem']",Hextech Gunblade,Zhonya's Hourglass,Control Ward,Sorcerer's Shoes,Needlessly Large Rod,Morellonomicon
6,2020-07-16,LCK 2020 Summer,T1,KT Rolster,Win,T1,KT Rolster,Blue,46:51,LeBlanc,Sylas,5,1,5,10.0,354,18.3,,7,Ignite,Flash,"['Fiendish Codex', ""Sorcerer's Shoes"", 'Morellonomicon', ""Luden's Echo"", ""Rabadon's Deathcap"", 'Void Staff', 'Oracle Lens']",Fiendish Codex,Sorcerer's Shoes,Morellonomicon,Luden's Echo,Rabadon's Deathcap,Void Staff
7,2020-07-16,LCK 2020 Summer,T1,KT Rolster,Win,KT Rolster,T1,Red,27:07,Zoe,LeBlanc,3,1,5,8.0,246,10.6,,-17,Teleport,Flash,"['Needlessly Large Rod', 'Broken Stopwatch', 'Void Staff', ""Luden's Echo"", 'Dark Seal', ""Mercury's Treads"", 'Farsight Alteration']",Needlessly Large Rod,Broken Stopwatch,Void Staff,Luden's Echo,Dark Seal,Mercury's Treads
8,2020-07-12,LCK 2020 Summer,T1,Team Dynamics,Loss,T1,Team Dynamics,Blue,49:41,Lulu,Galio,0,2,10,5.0,357,16.1,,-78,Teleport,Flash,"['Lost Chapter', ""Rabadon's Deathcap"", 'Ardent Censer', 'Lich Bane', ""Athene's Unholy Grail"", ""Mercury's Treads"", 'Farsight Alteration']",Lost Chapter,Rabadon's Deathcap,Ardent Censer,Lich Bane,Athene's Unholy Grail,Mercury's Treads
9,2020-07-12,LCK 2020 Summer,T1,Team Dynamics,Loss,Team Dynamics,T1,Red,28:35,Orianna,Zoe,0,1,1,1.0,252,9.8,,21,Cleanse,Flash,"['Hextech GLP-800', 'Spellbinder', 'Control Ward', ""Sorcerer's Shoes"", ""Doran's Ring"", 'Oblivion Orb', 'Farsight Alteration']",Hextech GLP-800,Spellbinder,Control Ward,Sorcerer's Shoes,Doran's Ring,Oblivion Orb
10,2020-07-12,LCK 2020 Summer,T1,Team Dynamics,Win,T1,Team Dynamics,Blue,34:27,Corki,Azir,8,2,6,7.0,325,16.5,,-11,Teleport,Flash,"['Infinity Edge', 'Vampiric Scepter', ""Sorcerer's Shoes"", 'Trinity Force (0.9.25.21 - 10.22)', 'Rapid Firecannon', 'Muramana', 'Farsight Alteration']",Infinity Edge,Vampiric Scepter,Sorcerer's Shoes,Trinity Force (0.9.25.21 - 10.22),Rapid Firecannon,Muramana
11,2020-07-09,LCK 2020 Summer,T1,SeolHaeOne Prince,Win,SeolHaeOne Prince,T1,Red,27:56,Lissandra,LeBlanc,2,2,7,4.5,245,12.1,,33,Teleport,Flash,"['Hextech Protobelt-01', 'Stopwatch', 'Morellonomicon', ""Sorcerer's Shoes"", 'Dark Seal', ""Luden's Echo"", 'Farsight Alteration']",Hextech Protobelt-01,Stopwatch,Morellonomicon,Sorcerer's Shoes,Dark Seal,Luden's Echo
12,2020-07-09,LCK 2020 Summer,T1,SeolHaeOne Prince,Win,T1,SeolHaeOne Prince,Blue,32:07,Azir,Ekko,5,1,5,10.0,341,15.0,,23,Teleport,Flash,"['Control Ward', 'Morellonomicon', ""Nashor's Tooth"", ""Mercury's Treads"", 'Lost Chapter', ""Rabadon's Deathcap"", 'Farsight Alteration']",Control Ward,Morellonomicon,Nashor's Tooth,Mercury's Treads,Lost Chapter,Rabadon's Deathcap
13,2020-07-03,LCK 2020 Summer,T1,Gen.G,Win,T1,Gen.G,Blue,24:35,Twisted Fate,Azir,6,0,9,15.0,225,12.1,,-3,Teleport,Flash,"[""Zhonya's Hourglass"", 'Corrupting Potion', 'Sheen', ""Mejai's Soulstealer"", ""Mercury's Treads"", 'Rod of Ages', 'Farsight Alteration']",Zhonya's Hourglass,Corrupting Potion,Sheen,Mejai's Soulstealer,Mercury's Treads,Rod of Ages
14,2020-07-03,LCK 2020 Summer,T1,Gen.G,Win,Gen.G,T1,Red,38:39,Azir,Ekko,1,0,4,5.0,420,17.0,,47,Teleport,Flash,"['Needlessly Large Rod', ""Banshee's Veil"", ""Liandry's Torment"", ""Mercury's Treads"", ""Nashor's Tooth"", 'Lost Chapter', 'Farsight Alteration']",Needlessly Large Rod,Banshee's Veil,Liandry's Torment,Mercury's Treads,Nashor's Tooth,Lost Chapter
15,2020-07-01,LCK 2020 Summer,T1,DAMWON Gaming,Loss,DAMWON Gaming,T1,Red,49:12,LeBlanc,Syndra,2,3,1,1.0,423,18.8,,11,Teleport,Flash,"['Oblivion Orb', 'Void Staff', ""Mercury's Treads"", ""Luden's Echo"", ""Banshee's Veil"", ""Rabadon's Deathcap"", 'Oracle Lens']",Oblivion Orb,Void Staff,Mercury's Treads,Luden's Echo,Banshee's Veil,Rabadon's Deathcap
16,2020-07-01,LCK 2020 Summer,T1,DAMWON Gaming,Loss,T1,DAMWON Gaming,Blue,35:26,Neeko,Sylas,1,2,5,3.0,289,13.0,,-5,Teleport,Flash,"['Hextech GLP-800', 'Twin Shadows', ""Zhonya's Hourglass"", 'Needlessly Large Rod', ""Sorcerer's Shoes"", 'Needlessly Large Rod', 'Farsight Alteration']",Hextech GLP-800,Twin Shadows,Zhonya's Hourglass,Needlessly Large Rod,Sorcerer's Shoes,Needlessly Large Rod
17,2020-06-28,LCK 2020 Summer,T1,SANDBOX Gaming,Win,T1,SANDBOX Gaming,Blue,34:33,Azir,Irelia,6,2,4,5.0,341,16.1,,19,Exhaust,Flash,"[""Zhonya's Hourglass"", 'Needlessly Large Rod', 'Void Staff', ""Sorcerer's Shoes"", ""Nashor's Tooth"", 'Lost Chapter', 'Farsight Alteration']",Zhonya's Hourglass,Needlessly Large Rod,Void Staff,Sorcerer's Shoes,Nashor's Tooth,Lost Chapter
18,2020-06-28,LCK 2020 Summer,T1,SANDBOX Gaming,Win,SANDBOX Gaming,T1,Red,32:25,Azir,Syndra,4,3,5,3.0,281,14.1,,32,Exhaust,Flash,"['Tear of the Goddess', ""Mercury's Treads"", ""Rabadon's Deathcap"", 'Lost Chapter', ""Banshee's Veil"", ""Nashor's Tooth"", 'Farsight Alteration']",Tear of the Goddess,Mercury's Treads,Rabadon's Deathcap,Lost Chapter,Banshee's Veil,Nashor's Tooth
19,2020-06-26,LCK 2020 Summer,T1,Afreeca Freecs,Win,Afreeca Freecs,T1,Red,31:43,Azir,Viktor,6,3,13,6.33,281,15.1,,38,Teleport,Flash,"[""Zhonya's Hourglass"", 'Needlessly Large Rod', 'Morellonomicon', ""Nashor's Tooth"", 'Lost Chapter', ""Sorcerer's Shoes"", 'Farsight Alteration']",Zhonya's Hourglass,Needlessly Large Rod,Morellonomicon,Nashor's Tooth,Lost Chapter,Sorcerer's Shoes
20,2020-06-26,LCK 2020 Summer,T1,Afreeca Freecs,Win,T1,Afreeca Freecs,Blue,25:19,Twisted Fate,Galio,4,0,12,16.0,244,13.4,,39,Teleport,Flash,"[""Zhonya's Hourglass"", 'Needlessly Large Rod', 'Corrupting Potion', 'Rod of Ages', 'Lich Bane', ""Mercury's Treads"", 'Farsight Alteration']",Zhonya's Hourglass,Needlessly Large Rod,Corrupting Potion,Rod of Ages,Lich Bane,Mercury's Treads
21,2020-06-26,LCK 2020 Summer,T1,Afreeca Freecs,Loss,Afreeca Freecs,T1,Red,33:45,Karma,Zoe,1,2,1,1.0,291,11.4,,16,Teleport,Flash,"['Needlessly Large Rod', 'Forbidden Idol', 'Needlessly Large Rod', ""Mercury's Treads"", ""Luden's Echo"", ""Athene's Unholy Grail"", 'Farsight Alteration']",Needlessly Large Rod,Forbidden Idol,Needlessly Large Rod,Mercury's Treads,Luden's Echo,Athene's Unholy Grail
