,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2021-08-28,LCK 2021 Summer Playoffs,T1,DWG KIA,Loss,T1,DWG KIA,Blue,37:16,Ryze,LeBlanc,2,5,4,1.2,356,14.3,14.4,73,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Control Ward', ""Seraph's Embrace"", 'Void Staff', ""Mercury's Treads"", 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Control Ward,Seraph's Embrace,Void Staff,Mercury's Treads
1,2021-08-28,LCK 2021 Summer Playoffs,T1,DWG KIA,Win,T1,DWG KIA,Blue,21:07,Azir,Kassadin,2,2,6,4.0,176,8.3,12.8,24,Teleport,Flash,"[""Zhonya's Hourglass"", ""Doran's Ring"", 'Control Ward', ""Liandry's Anguish"", 'EmptyIcon', ""Sorcerer's Shoes"", 'Farsight Alteration']",Zhonya's Hourglass,Doran's Ring,Control Ward,Liandry's Anguish,EmptyIcon,Sorcerer's Shoes
2,2021-08-28,LCK 2021 Summer Playoffs,T1,DWG KIA,Loss,DWG KIA,T1,Red,34:36,LeBlanc,Kassadin,3,4,0,0.75,267,12.6,16.1,8,Teleport,Flash,"['Void Staff', ""Luden's Tempest"", 'EmptyIcon', ""Sorcerer's Shoes"", 'Dark Seal', ""Rabadon's Deathcap"", 'Oracle Lens']",Void Staff,Luden's Tempest,EmptyIcon,Sorcerer's Shoes,Dark Seal,Rabadon's Deathcap
3,2021-08-28,LCK 2021 Summer Playoffs,T1,DWG KIA,Loss,DWG KIA,T1,Red,39:40,Azir,Ryze,1,5,10,2.2,329,15.0,22.9,-15,Teleport,Flash,"[""Zhonya's Hourglass"", 'Void Staff', 'Control Ward', ""Rabadon's Deathcap"", ""Mercury's Treads"", ""Luden's Tempest"", 'Farsight Alteration']",Zhonya's Hourglass,Void Staff,Control Ward,Rabadon's Deathcap,Mercury's Treads,Luden's Tempest
4,2021-08-22,LCK 2021 Summer Playoffs,T1,Gen.G,Win,Gen.G,T1,Red,39:25,Ryze,Yasuo,6,3,8,4.67,354,17.7,15.2,48,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Control Ward', ""Rabadon's Deathcap"", 'Plated Steelcaps', ""Seraph's Embrace"", 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Control Ward,Rabadon's Deathcap,Plated Steelcaps,Seraph's Embrace
5,2021-08-22,LCK 2021 Summer Playoffs,T1,Gen.G,Win,T1,Gen.G,Blue,51:10,Ryze,Syndra,5,1,6,11.0,442,20.9,14.1,89,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Morellonomicon', ""Seraph's Embrace"", ""Mercury's Treads"", ""Rabadon's Deathcap"", 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Morellonomicon,Seraph's Embrace,Mercury's Treads,Rabadon's Deathcap
6,2021-08-22,LCK 2021 Summer Playoffs,T1,Gen.G,Win,T1,Gen.G,Blue,36:43,Ryze,Zoe,1,2,5,3.0,353,14.8,12.3,55,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'EmptyIcon', ""Banshee's Veil"", ""Seraph's Embrace"", 'Ionian Boots of Lucidity', 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,EmptyIcon,Banshee's Veil,Seraph's Embrace,Ionian Boots of Lucidity
7,2021-08-22,LCK 2021 Summer Playoffs,T1,Gen.G,Loss,Gen.G,T1,Red,32:11,Irelia,Azir,2,5,0,0.4,275,11.4,5.7,-14,Teleport,Flash,"['Goredrinker', 'Corrupting Potion', 'Aegis of the Legion', ""Sterak's Gage"", ""Mercury's Treads"", 'Null-Magic Mantle', 'Farsight Alteration']",Goredrinker,Corrupting Potion,Aegis of the Legion,Sterak's Gage,Mercury's Treads,Null-Magic Mantle
8,2021-08-19,LCK 2021 Summer Playoffs,T1,Liiv SANDBOX,Win,Liiv SANDBOX,T1,Red,36:35,Orianna,Sylas,1,2,6,3.5,349,15.0,19,18,Teleport,Flash,"[""Rabadon's Deathcap"", ""Luden's Tempest"", 'Control Ward', ""Seraph's Embrace"", 'Fiendish Codex', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Rabadon's Deathcap,Luden's Tempest,Control Ward,Seraph's Embrace,Fiendish Codex,Ionian Boots of Lucidity
9,2021-08-19,LCK 2021 Summer Playoffs,T1,Liiv SANDBOX,Win,Liiv SANDBOX,T1,Red,48:26,LeBlanc,Sett,8,1,6,14.0,354,20.2,44.7,59,Teleport,Flash,"[""Zhonya's Hourglass"", 'Void Staff', ""Rabadon's Deathcap"", ""Luden's Tempest"", ""Sorcerer's Shoes"", 'Cosmic Drive', 'Oracle Lens']",Zhonya's Hourglass,Void Staff,Rabadon's Deathcap,Luden's Tempest,Sorcerer's Shoes,Cosmic Drive
10,2021-08-19,LCK 2021 Summer Playoffs,T1,Liiv SANDBOX,Win,T1,Liiv SANDBOX,Blue,26:44,Azir,Lucian,5,1,8,13.0,234,12.1,17.5,31,Teleport,Flash,"['Corrupting Potion', ""Zhonya's Hourglass"", 'Void Staff', ""Luden's Tempest"", 'Needlessly Large Rod', ""Sorcerer's Shoes"", 'Farsight Alteration']",Corrupting Potion,Zhonya's Hourglass,Void Staff,Luden's Tempest,Needlessly Large Rod,Sorcerer's Shoes
