,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2014-07-23,Champions 2014 Summer,SK Telecom T1 K,Samsung White,Loss,SK Telecom T1 K,Samsung White,Blue,31:55,Xerath,Orianna,3,4,2,1.25,338,12.2,,3,Heal,Flash,"[""Rabadon's Deathcap"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Homeguard"", ""Doran's Ring"", 'EmptyIcon', 'Sweeping Lens']",Rabadon's Deathcap,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Homeguard,Doran's Ring,EmptyIcon
1,2014-07-23,Champions 2014 Summer,SK Telecom T1 K,Samsung White,Loss,Samsung White,SK Telecom T1 K,Red,32:10,Ziggs,Orianna,1,1,0,1.0,329,10.8,,20,Heal,Flash,"[""Rabadon's Deathcap"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes"", ""Doran's Ring"", 'EmptyIcon', 'Sweeping Lens']",Rabadon's Deathcap,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes,Doran's Ring,EmptyIcon
2,2014-07-23,Champions 2014 Summer,SK Telecom T1 K,Samsung White,Loss,SK Telecom T1 K,Samsung White,Blue,40:11,Orianna,Ziggs,5,4,5,2.5,351,15.1,,-67,Ignite,Flash,"[""Rabadon's Deathcap"", ""Zhonya's Hourglass"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Homeguard"", ""Doran's Ring"", 'Sweeping Lens']",Rabadon's Deathcap,Zhonya's Hourglass,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Homeguard,Doran's Ring
3,2014-07-23,Champions 2014 Summer,SK Telecom T1 K,Samsung White,Win,Samsung White,SK Telecom T1 K,Red,32:46,Zilean,Ziggs,4,1,9,13.0,284,14.1,,12,Ignite,Flash,"[""Seraph's Embrace"", ""Athene's Unholy Grail"", ""Doran's Ring"", 'Ionian Boots of Lucidity - Homeguard', ""Mejai's Soulstealer"", ""Rabadon's Deathcap"", 'Sweeping Lens']",Seraph's Embrace,Athene's Unholy Grail,Doran's Ring,Ionian Boots of Lucidity - Homeguard,Mejai's Soulstealer,Rabadon's Deathcap
4,2014-07-11,Champions 2014 Summer,SK Telecom T1 K,Incredible Miracle 1,Loss,Incredible Miracle 1,SK Telecom T1 K,Red,40:51,Karma,Orianna,2,5,7,1.8,298,,,-87,Ignite,Flash,"[""Rabadon's Deathcap"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Homeguard"", 'Haunting Guise', ""Doran's Ring"", 'Sweeping Lens']",Rabadon's Deathcap,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Homeguard,Haunting Guise,Doran's Ring
5,2014-07-11,Champions 2014 Summer,SK Telecom T1 K,Incredible Miracle 1,Win,SK Telecom T1 K,Incredible Miracle 1,Blue,29:13,Xerath,Orianna,9,1,5,14.0,328,,,102,Heal,Flash,"[""Rabadon's Deathcap"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes"", ""Doran's Ring"", 'EmptyIcon', 'Sweeping Lens']",Rabadon's Deathcap,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes,Doran's Ring,EmptyIcon
6,2014-06-27,Champions 2014 Summer,SK Telecom T1 K,Samsung Blue,Loss,Samsung Blue,SK Telecom T1 K,Red,43:37,Orianna,Twisted Fate,4,4,7,2.75,389,,,6,Ignite,Flash,"[""Rabadon's Deathcap"", ""Zhonya's Hourglass"", ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Homeguard"", 'Negatron Cloak', 'Sweeping Lens']",Rabadon's Deathcap,Zhonya's Hourglass,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Homeguard,Negatron Cloak
7,2014-06-27,Champions 2014 Summer,SK Telecom T1 K,Samsung Blue,Loss,SK Telecom T1 K,Samsung Blue,Blue,48:58,Lulu,Ziggs,4,2,3,3.5,379,,,-84,Ignite,Flash,"[""Rabadon's Deathcap"", 'Lich Bane', ""Athene's Unholy Grail"", 'Void Staff', ""Sorcerer's Shoes - Homeguard"", 'Negatron Cloak', 'Sweeping Lens']",Rabadon's Deathcap,Lich Bane,Athene's Unholy Grail,Void Staff,Sorcerer's Shoes - Homeguard,Negatron Cloak
8,2014-06-21,Champions 2014 Summer,SK Telecom T1 K,Incredible Miracle 2,Win,Incredible Miracle 2,SK Telecom T1 K,Red,26:55,Syndra,Nidalee,5,2,5,5.0,234,,,49,Ignite,Flash,"[""Rabadon's Deathcap"", ""Athene's Unholy Grail"", 'Needlessly Large Rod', ""Sorcerer's Shoes - Homeguard"", ""Doran's Ring"", ""Doran's Ring"", 'Sweeping Lens']",Rabadon's Deathcap,Athene's Unholy Grail,Needlessly Large Rod,Sorcerer's Shoes - Homeguard,Doran's Ring,Doran's Ring
9,2014-06-21,Champions 2014 Summer,SK Telecom T1 K,Incredible Miracle 2,Win,SK Telecom T1 K,Incredible Miracle 2,Blue,24:30,Nidalee,Twisted Fate,4,0,7,11.0,243,,,69,Heal,Flash,"[""Rabadon's Deathcap"", ""Athene's Unholy Grail"", ""Sorcerer's Shoes"", 'Blasting Wand', ""Doran's Ring"", 'EmptyIcon', 'Sweeping Lens']",Rabadon's Deathcap,Athene's Unholy Grail,Sorcerer's Shoes,Blasting Wand,Doran's Ring,EmptyIcon
