,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2015-10-31,Worlds 2015,SK Telecom T1,KOO Tigers,Win,KOO Tigers,SK Telecom T1,Red,34:34,Ryze,Kassadin,9,0,4,13.0,302,15.1,,26,Teleport,Flash,"[""Seraph's Embrace"", ""Doran's Ring"", ""Mercury's Treads"", 'Rod of Ages', ""Rabadon's Deathcap"", 'Void Staff', 'Sweeping Lens']",Seraph's Embrace,Doran's Ring,Mercury's Treads,Rod of Ages,Rabadon's Deathcap,Void Staff
1,2015-10-31,Worlds 2015,SK Telecom T1,KOO Tigers,Loss,SK Telecom T1,KOO Tigers,Blue,37:50,Lulu,Kassadin,4,6,6,1.67,245,12.7,,-14,Ignite,Flash,"[""Doran's Ring"", ""Athene's Unholy Grail"", ""Rabadon's Deathcap"", 'Lich Bane', ""Sorcerer's Shoes - Homeguard"", 'EmptyIcon', 'Sweeping Lens']",Doran's Ring,Athene's Unholy Grail,Rabadon's Deathcap,Lich Bane,Sorcerer's Shoes - Homeguard,EmptyIcon
2,2015-10-31,Worlds 2015,SK Telecom T1,KOO Tigers,Win,KOO Tigers,SK Telecom T1,Red,38:15,Lulu,Viktor,7,0,7,14.0,334,15.8,,19,Ignite,Flash,"[""Doran's Ring"", ""Athene's Unholy Grail"", ""Sorcerer's Shoes - Homeguard"", ""Rabadon's Deathcap"", 'Lich Bane', 'Void Staff', 'Sweeping Lens']",Doran's Ring,Athene's Unholy Grail,Sorcerer's Shoes - Homeguard,Rabadon's Deathcap,Lich Bane,Void Staff
3,2015-10-31,Worlds 2015,SK Telecom T1,KOO Tigers,Win,SK Telecom T1,KOO Tigers,Blue,42:41,Kassadin,Lulu,3,1,12,15.0,351,16.1,,20,Ignite,Flash,"[""Zhonya's Hourglass"", 'Lich Bane', 'Rod of Ages', 'Ionian Boots of Lucidity - Homeguard', ""Rabadon's Deathcap"", 'Blasting Wand', 'Sweeping Lens']",Zhonya's Hourglass,Lich Bane,Rod of Ages,Ionian Boots of Lucidity - Homeguard,Rabadon's Deathcap,Blasting Wand
4,2015-10-24,Worlds 2015,SK Telecom T1,Origen,Win,SK Telecom T1,Origen,Blue,25:58,Ryze,Lulu,6,1,7,13.0,228,11.7,,41,Ghost,Flash,"[""Seraph's Embrace"", ""Sorcerer's Shoes"", ""Doran's Ring"", 'Rod of Ages', 'Blasting Wand', 'Amplifying Tome', 'Sweeping Lens']",Seraph's Embrace,Sorcerer's Shoes,Doran's Ring,Rod of Ages,Blasting Wand,Amplifying Tome
5,2015-10-16,Worlds 2015,SK Telecom T1,Ahq eSports Club,Win,SK Telecom T1,Ahq eSports Club,Blue,43:30,Kassadin,Fizz,3,3,7,3.33,292,14.2,,11,Teleport,Flash,"[""Zhonya's Hourglass"", 'Rod of Ages', 'Needlessly Large Rod', ""Sorcerer's Shoes - Homeguard"", ""Doran's Ring"", 'Void Staff', 'Greater Stealth Totem']",Zhonya's Hourglass,Rod of Ages,Needlessly Large Rod,Sorcerer's Shoes - Homeguard,Doran's Ring,Void Staff
6,2015-10-16,Worlds 2015,SK Telecom T1,Ahq eSports Club,Win,Ahq eSports Club,SK Telecom T1,Red,27:27,Ryze,Twisted Fate,7,0,3,10.0,218,11.5,,28,Teleport,Flash,"[""Seraph's Embrace"", 'Rod of Ages', 'Void Staff', ""Mercury's Treads - Distortion"", 'EmptyIcon', 'EmptyIcon', 'Sweeping Lens']",Seraph's Embrace,Rod of Ages,Void Staff,Mercury's Treads - Distortion,EmptyIcon,EmptyIcon
7,2015-10-16,Worlds 2015,SK Telecom T1,Ahq eSports Club,Win,SK Telecom T1,Ahq eSports Club,Blue,34:14,Lulu,Diana,1,0,6,7.0,330,13.5,,56,Ignite,Flash,"[""Doran's Ring"", ""Sorcerer's Shoes"", ""Athene's Unholy Grail"", ""Rabadon's Deathcap"", 'Lich Bane', 'EmptyIcon', 'Sweeping Lens']",Doran's Ring,Sorcerer's Shoes,Athene's Unholy Grail,Rabadon's Deathcap,Lich Bane,EmptyIcon
8,2015-10-09,Worlds 2015,SK Telecom T1,EDward Gaming,Win,SK Telecom T1,EDward Gaming,Blue,23:38,Ryze,Twisted Fate,2,1,5,7.0,224,9.6,,31,Teleport,Flash,"[""Seraph's Embrace"", 'Rod of Ages', ""Doran's Ring"", ""Mercury's Treads - Distortion"", 'Amplifying Tome', 'EmptyIcon', 'Sweeping Lens']",Seraph's Embrace,Rod of Ages,Doran's Ring,Mercury's Treads - Distortion,Amplifying Tome,EmptyIcon
9,2015-10-03,Worlds 2015,SK Telecom T1,EDward Gaming,Win,EDward Gaming,SK Telecom T1,Red,35:09,Ryze,Ekko,4,2,9,6.5,315,14.7,,54,Teleport,Flash,"[""Seraph's Embrace"", 'Rod of Ages', ""Doran's Ring"", ""Mercury's Treads - Distortion"", 'Void Staff', 'Blasting Wand', 'Greater Stealth Totem']",Seraph's Embrace,Rod of Ages,Doran's Ring,Mercury's Treads - Distortion,Void Staff,Blasting Wand
