,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2018-03-25,LCK 2018 Spring,SK Telecom T1,Kongdoo Monster,Win,Kongdoo Monster,SK Telecom T1,Red,35:11,Anivia,Ryze,4,0,9,13.0,351,15.2,,18,Cleanse,Flash,"[""Seraph's Embrace"", 'Banner of Command', 'Rod of Ages', ""Doran's Ring"", 'Void Staff', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Seraph's Embrace,Banner of Command,Rod of Ages,Doran's Ring,Void Staff,Ionian Boots of Lucidity
1,2018-03-25,LCK 2018 Spring,SK Telecom T1,Kongdoo Monster,Loss,SK Telecom T1,Kongdoo Monster,Blue,29:26,Taliyah,LeBlanc,2,4,4,1.5,266,10.8,,35,Heal,Flash,"[""Seraph's Embrace"", ""Doran's Ring"", ""Sorcerer's Shoes"", ""Banshee's Veil"", 'The Dark Seal', 'Blasting Wand', 'Farsight Alteration']",Seraph's Embrace,Doran's Ring,Sorcerer's Shoes,Banshee's Veil,The Dark Seal,Blasting Wand
2,2018-03-25,LCK 2018 Spring,SK Telecom T1,Kongdoo Monster,Win,Kongdoo Monster,SK Telecom T1,Red,27:28,Taliyah,Sion,3,0,7,10.0,290,12.1,,53,Heal,Flash,"[""Seraph's Embrace"", ""Doran's Ring"", 'Minion Dematerializer', ""Liandry's Torment"", 'Morellonomicon', ""Sorcerer's Shoes"", 'Warding Totem']",Seraph's Embrace,Doran's Ring,Minion Dematerializer,Liandry's Torment,Morellonomicon,Sorcerer's Shoes
3,2018-03-22,LCK 2018 Spring,SK Telecom T1,MVP,Win,MVP,SK Telecom T1,Red,27:56,Galio,Corki,4,0,8,12.0,268,12.4,,4,Teleport,Flash,"[""Zhonya's Hourglass"", 'Rod of Ages', ""Luden's Echo"", 'Ninja Tabi', ""Doran's Ring"", 'Control Ward', 'Warding Totem']",Zhonya's Hourglass,Rod of Ages,Luden's Echo,Ninja Tabi,Doran's Ring,Control Ward
4,2018-03-22,LCK 2018 Spring,SK Telecom T1,MVP,Win,SK Telecom T1,MVP,Blue,31:07,Azir,Vel'Koz,1,0,1,2.0,377,14.7,,90,Cleanse,Flash,"['Void Staff', 'Morellonomicon', ""Sorcerer's Shoes"", ""Nashor's Tooth"", 'Needlessly Large Rod', 'Needlessly Large Rod', 'Warding Totem']",Void Staff,Morellonomicon,Sorcerer's Shoes,Nashor's Tooth,Needlessly Large Rod,Needlessly Large Rod
5,2018-03-18,LCK 2018 Spring,SK Telecom T1,KSV eSports,Win,SK Telecom T1,KSV eSports,Blue,38:12,Anivia,Syndra,3,1,7,10.0,367,15.5,,21,Heal,Flash,"[""Seraph's Embrace"", ""Liandry's Torment"", ""Mercury's Treads"", 'The Dark Seal', 'Rod of Ages', 'Void Staff', 'Warding Totem']",Seraph's Embrace,Liandry's Torment,Mercury's Treads,The Dark Seal,Rod of Ages,Void Staff
6,2018-03-18,LCK 2018 Spring,SK Telecom T1,KSV eSports,Win,KSV eSports,SK Telecom T1,Red,36:40,Azir,Karma,6,0,5,11.0,384,17.7,,63,Cleanse,Flash,"['Blasting Wand', ""Nashor's Tooth"", ""Sorcerer's Shoes"", ""Rylai's Crystal Scepter"", ""Rabadon's Deathcap"", 'Morellonomicon', 'Warding Totem']",Blasting Wand,Nashor's Tooth,Sorcerer's Shoes,Rylai's Crystal Scepter,Rabadon's Deathcap,Morellonomicon
7,2018-03-14,LCK 2018 Spring,SK Telecom T1,Bbq Olivers,Loss,SK Telecom T1,Bbq Olivers,Blue,37:14,Kassadin,Azir,0,4,0,0.0,341,12.5,,2,Barrier,Flash,"[""Seraph's Embrace"", 'Abyssal Mask', ""Mercury's Treads"", 'Void Staff', 'Control Ward', 'Needlessly Large Rod', 'Warding Totem']",Seraph's Embrace,Abyssal Mask,Mercury's Treads,Void Staff,Control Ward,Needlessly Large Rod
8,2018-03-14,LCK 2018 Spring,SK Telecom T1,Bbq Olivers,Win,Bbq Olivers,SK Telecom T1,Red,54:32,Kassadin,Azir,7,3,4,3.67,493,22.4,,15,Barrier,Flash,"[""Seraph's Embrace"", 'Abyssal Mask', ""Rabadon's Deathcap"", 'Lich Bane', ""Mercury's Treads"", 'Void Staff', 'Warding Totem']",Seraph's Embrace,Abyssal Mask,Rabadon's Deathcap,Lich Bane,Mercury's Treads,Void Staff
9,2018-03-14,LCK 2018 Spring,SK Telecom T1,Bbq Olivers,Loss,SK Telecom T1,Bbq Olivers,Blue,37:54,Azir,Ziggs,0,2,0,0.0,448,15.5,,55,Heal,Flash,"['Void Staff', ""Banshee's Veil"", ""Sorcerer's Shoes"", ""Nashor's Tooth"", 'Morellonomicon', 'Needlessly Large Rod', 'Warding Totem']",Void Staff,Banshee's Veil,Sorcerer's Shoes,Nashor's Tooth,Morellonomicon,Needlessly Large Rod
