,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2019-05-18,MSI 2019 Main Event,SK Telecom T1,G2 Esports,Loss,SK Telecom T1,G2 Esports,Blue,30:36,LeBlanc,Lissandra,2,4,8,2.5,226,10.0,,-15,Teleport,Flash,"['Oblivion Orb', ""Mercury's Treads"", 'The Dark Seal', ""Doran's Ring"", ""Luden's Echo"", 'Fiendish Codex', 'Warding Totem']",Oblivion Orb,Mercury's Treads,The Dark Seal,Doran's Ring,Luden's Echo,Fiendish Codex
1,2019-05-18,MSI 2019 Main Event,SK Telecom T1,G2 Esports,Loss,G2 Esports,SK Telecom T1,Red,35:00,Sylas,Ryze,3,3,8,3.67,282,13.4,,-5,Teleport,Flash,"['Hextech Protobelt-01', ""Zhonya's Hourglass"", 'Blasting Wand', ""Mercury's Treads"", ""Luden's Echo"", 'Needlessly Large Rod', 'Warding Totem']",Hextech Protobelt-01,Zhonya's Hourglass,Blasting Wand,Mercury's Treads,Luden's Echo,Needlessly Large Rod
2,2019-05-18,MSI 2019 Main Event,SK Telecom T1,G2 Esports,Win,SK Telecom T1,G2 Esports,Blue,34:36,Sylas,Azir,2,3,7,3.0,321,14.3,,14,Teleport,Flash,"['Hextech Protobelt-01', ""Zhonya's Hourglass"", 'Stopwatch', ""Luden's Echo"", 'Needlessly Large Rod', ""Mercury's Treads"", 'Warding Totem']",Hextech Protobelt-01,Zhonya's Hourglass,Stopwatch,Luden's Echo,Needlessly Large Rod,Mercury's Treads
3,2019-05-18,MSI 2019 Main Event,SK Telecom T1,G2 Esports,Loss,G2 Esports,SK Telecom T1,Red,31:24,Sylas,Akali,1,4,3,1.0,249,10.7,,13,Teleport,Flash,"['The Dark Seal', 'Broken Stopwatch', ""Mercury's Treads"", ""Seeker's Armguard"", 'Hextech Protobelt-01', ""Luden's Echo"", 'Warding Totem']",The Dark Seal,Broken Stopwatch,Mercury's Treads,Seeker's Armguard,Hextech Protobelt-01,Luden's Echo
4,2019-05-18,MSI 2019 Main Event,SK Telecom T1,G2 Esports,Win,SK Telecom T1,G2 Esports,Blue,24:40,Lissandra,Morgana,3,0,6,9.0,204,10.1,,7,Teleport,Flash,"['Hextech Protobelt-01', 'Corrupting Potion', 'Broken Stopwatch', ""Seeker's Armguard"", ""Mercury's Treads"", ""Luden's Echo"", 'Warding Totem']",Hextech Protobelt-01,Corrupting Potion,Broken Stopwatch,Seeker's Armguard,Mercury's Treads,Luden's Echo
5,2019-05-14,MSI 2019 Main Event,SK Telecom T1,Invictus Gaming,Win,SK Telecom T1,Invictus Gaming,Blue,32:10,Ryze,Zoe,8,0,7,15.0,309,16.0,,47,Teleport,Flash,"[""Seraph's Embrace"", 'Spellbinder', ""Rabadon's Deathcap"", ""Banshee's Veil"", ""Mercury's Treads"", 'EmptyIcon', 'Farsight Alteration']",Seraph's Embrace,Spellbinder,Rabadon's Deathcap,Banshee's Veil,Mercury's Treads,EmptyIcon
6,2019-05-14,MSI 2019 Main Event,SK Telecom T1,Team Liquid,Win,SK Telecom T1,Team Liquid,Blue,29:08,LeBlanc,Syndra,5,0,4,9.0,242,12.6,,27,Teleport,Flash,"['Corrupting Potion', ""Mercury's Treads"", ""Luden's Echo"", 'The Dark Seal', 'Morellonomicon', 'Void Staff', 'Warding Totem']",Corrupting Potion,Mercury's Treads,Luden's Echo,The Dark Seal,Morellonomicon,Void Staff
7,2019-05-13,MSI 2019 Main Event,SK Telecom T1,Phong Vũ Buffalo,Win,Phong Vũ Buffalo,SK Telecom T1,Red,26:32,Irelia,Ryze,6,0,8,14.0,261,13.2,,19,Ignite,Flash,"['Corrupting Potion', 'Trinity Force (0.9.25.21 - 10.22)', ""Mercury's Treads"", 'Guardian Angel', ""Sterak's Gage"", 'Ruby Crystal', 'Farsight Alteration']",Corrupting Potion,Trinity Force (0.9.25.21 - 10.22),Mercury's Treads,Guardian Angel,Sterak's Gage,Ruby Crystal
8,2019-05-13,MSI 2019 Main Event,SK Telecom T1,Flash Wolves,Win,Flash Wolves,SK Telecom T1,Red,31:11,Azir,Orianna,3,1,10,13.0,311,14.8,,52,Heal,Flash,"['Fiendish Codex', ""Nashor's Tooth"", ""Rabadon's Deathcap"", ""Sorcerer's Shoes"", 'Morellonomicon', 'EmptyIcon', 'Farsight Alteration']",Fiendish Codex,Nashor's Tooth,Rabadon's Deathcap,Sorcerer's Shoes,Morellonomicon,EmptyIcon
9,2019-05-12,MSI 2019 Main Event,SK Telecom T1,G2 Esports,Loss,SK Telecom T1,G2 Esports,Blue,35:28,Azir,LeBlanc,3,3,3,2.0,295,14.0,,41,Barrier,Flash,"['Morellonomicon', ""Nashor's Tooth"", 'The Dark Seal', ""Banshee's Veil"", ""Sorcerer's Shoes"", 'Blasting Wand', 'Farsight Alteration']",Morellonomicon,Nashor's Tooth,The Dark Seal,Banshee's Veil,Sorcerer's Shoes,Blasting Wand
10,2019-05-12,MSI 2019 Main Event,SK Telecom T1,Team Liquid,Win,Team Liquid,SK Telecom T1,Red,30:29,Akali,Ryze,8,0,5,13.0,292,15.0,,21,Teleport,Flash,"['Hextech Gunblade', 'Broken Stopwatch', 'Morellonomicon', ""Sorcerer's Shoes"", ""Seeker's Armguard"", 'Void Staff', 'Warding Totem']",Hextech Gunblade,Broken Stopwatch,Morellonomicon,Sorcerer's Shoes,Seeker's Armguard,Void Staff
