,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2019-08-31,LCK 2019 Summer Playoffs,SK Telecom T1,Griffin (Korean Team),Win,SK Telecom T1,Griffin (Korean Team),Blue,28:53,Azir,Aatrox,3,1,6,9.0,286,13.0,,41,Cleanse,Flash,"[""Zhonya's Hourglass"", ""Sorcerer's Shoes"", 'Lost Chapter', ""Nashor's Tooth"", 'Blasting Wand', 'Oblivion Orb', 'Warding Totem']",Zhonya's Hourglass,Sorcerer's Shoes,Lost Chapter,Nashor's Tooth,Blasting Wand,Oblivion Orb
1,2019-08-31,LCK 2019 Summer Playoffs,SK Telecom T1,Griffin (Korean Team),Loss,SK Telecom T1,Griffin (Korean Team),Blue,34:45,Akali,Renekton,1,1,3,4.0,346,13.6,,-21,Teleport,Flash,"['Hextech Gunblade', ""Zhonya's Hourglass"", 'Stopwatch', 'EmptyIcon', 'Morellonomicon', ""Sorcerer's Shoes"", 'Warding Totem']",Hextech Gunblade,Zhonya's Hourglass,Stopwatch,EmptyIcon,Morellonomicon,Sorcerer's Shoes
2,2019-08-31,LCK 2019 Summer Playoffs,SK Telecom T1,Griffin (Korean Team),Win,SK Telecom T1,Griffin (Korean Team),Blue,33:15,Akali,Sylas,1,1,4,5.0,328,13.8,,-28,Teleport,Flash,"['Hextech Gunblade', ""Zhonya's Hourglass"", ""Mercury's Treads"", 'Morellonomicon', 'EmptyIcon', 'Needlessly Large Rod', 'Warding Totem']",Hextech Gunblade,Zhonya's Hourglass,Mercury's Treads,Morellonomicon,EmptyIcon,Needlessly Large Rod
3,2019-08-31,LCK 2019 Summer Playoffs,SK Telecom T1,Griffin (Korean Team),Win,SK Telecom T1,Griffin (Korean Team),Blue,34:02,Renekton,Sylas,3,0,2,5.0,361,14.6,,26,Teleport,Flash,"['Stopwatch', 'Spear of Shojin', ""Mercury's Treads"", 'The Black Cleaver', ""Sterak's Gage"", ""Spectre's Cowl"", 'Warding Totem']",Stopwatch,Spear of Shojin,Mercury's Treads,The Black Cleaver,Sterak's Gage,Spectre's Cowl
4,2019-08-25,LCK 2019 Summer Playoffs,SK Telecom T1,DAMWON Gaming,Win,DAMWON Gaming,SK Telecom T1,Red,27:17,Neeko,Corki,9,0,7,16.0,261,13.9,,8,Teleport,Flash,"['Hextech GLP-800', 'Twin Shadows', ""Zhonya's Hourglass"", 'Needlessly Large Rod', ""Mercury's Treads"", 'Needlessly Large Rod', 'Warding Totem']",Hextech GLP-800,Twin Shadows,Zhonya's Hourglass,Needlessly Large Rod,Mercury's Treads,Needlessly Large Rod
5,2019-08-25,LCK 2019 Summer Playoffs,SK Telecom T1,DAMWON Gaming,Win,DAMWON Gaming,SK Telecom T1,Red,41:26,Qiyana,Karma,4,5,7,2.2,258,14.8,,-49,Ignite,Flash,"[""Youmuu's Ghostblade"", 'Edge of Night', 'Boots of Mobility', 'Duskblade of Draktharr (6.3 - 10.22)', 'Last Whisper', ""Executioner's Calling"", 'Warding Totem']",Youmuu's Ghostblade,Edge of Night,Boots of Mobility,Duskblade of Draktharr (6.3 - 10.22),Last Whisper,Executioner's Calling
6,2019-08-25,LCK 2019 Summer Playoffs,SK Telecom T1,DAMWON Gaming,Win,SK Telecom T1,DAMWON Gaming,Blue,43:39,LeBlanc,Qiyana,3,2,5,4.0,326,16.1,,45,Ignite,Flash,"[""Zhonya's Hourglass"", ""Rabadon's Deathcap"", 'Morellonomicon', ""Luden's Echo"", 'EmptyIcon', ""Sorcerer's Shoes"", 'Warding Totem']",Zhonya's Hourglass,Rabadon's Deathcap,Morellonomicon,Luden's Echo,EmptyIcon,Sorcerer's Shoes
7,2019-08-23,LCK 2019 Summer Playoffs,SK Telecom T1,SANDBOX Gaming,Win,SK Telecom T1,SANDBOX Gaming,Blue,25:59,Akali,LeBlanc,10,2,5,7.5,232,12.9,,59,Teleport,Flash,"['Hextech Gunblade', ""Zhonya's Hourglass"", 'Morellonomicon', 'Null-Magic Mantle', ""Sorcerer's Shoes"", 'Control Ward', 'Warding Totem']",Hextech Gunblade,Zhonya's Hourglass,Morellonomicon,Null-Magic Mantle,Sorcerer's Shoes,Control Ward
8,2019-08-23,LCK 2019 Summer Playoffs,SK Telecom T1,SANDBOX Gaming,Win,SANDBOX Gaming,SK Telecom T1,Red,34:35,Kassadin,Azir,5,3,6,3.67,307,14.7,,-35,Teleport,Flash,"[""Seraph's Embrace"", 'Rod of Ages', 'Ionian Boots of Lucidity', 'Negatron Cloak', ""Rabadon's Deathcap"", 'Chain Vest', 'Warding Totem']",Seraph's Embrace,Rod of Ages,Ionian Boots of Lucidity,Negatron Cloak,Rabadon's Deathcap,Chain Vest
9,2019-08-23,LCK 2019 Summer Playoffs,SK Telecom T1,SANDBOX Gaming,Win,SANDBOX Gaming,SK Telecom T1,Red,33:03,Ekko,Taliyah,7,2,4,5.5,253,13.0,,-18,Teleport,Flash,"['Hextech Protobelt-01', ""Zhonya's Hourglass"", 'Corrupting Potion', ""Mercury's Treads"", 'The Dark Seal', ""Rabadon's Deathcap"", 'Warding Totem']",Hextech Protobelt-01,Zhonya's Hourglass,Corrupting Potion,Mercury's Treads,The Dark Seal,Rabadon's Deathcap
10,2019-08-21,LCK 2019 Summer Playoffs,SK Telecom T1,Afreeca Freecs,Win,Afreeca Freecs,SK Telecom T1,Red,37:16,Qiyana,Lissandra,7,1,14,21.0,234,14.6,,-34,Cleanse,Flash,"['Tiamat', ""Youmuu's Ghostblade"", 'Guardian Angel', 'Boots of Mobility', 'Duskblade of Draktharr (6.3 - 10.22)', 'Serrated Dirk', 'Warding Totem']",Tiamat,Youmuu's Ghostblade,Guardian Angel,Boots of Mobility,Duskblade of Draktharr (6.3 - 10.22),Serrated Dirk
11,2019-08-21,LCK 2019 Summer Playoffs,SK Telecom T1,Afreeca Freecs,Loss,SK Telecom T1,Afreeca Freecs,Blue,30:28,Neeko,Yasuo,0,1,1,1.0,307,11.8,,26,Exhaust,Flash,"['Hextech GLP-800', 'Twin Shadows', ""Zhonya's Hourglass"", ""Mercury's Treads"", 'EmptyIcon', 'Needlessly Large Rod', 'Warding Totem']",Hextech GLP-800,Twin Shadows,Zhonya's Hourglass,Mercury's Treads,EmptyIcon,Needlessly Large Rod
12,2019-08-21,LCK 2019 Summer Playoffs,SK Telecom T1,Afreeca Freecs,Win,Afreeca Freecs,SK Telecom T1,Red,36:57,Renekton,Qiyana,4,2,9,6.5,322,15.4,,30,Teleport,Flash,"['EmptyIcon', 'Pickaxe', 'Ninja Tabi', 'The Black Cleaver', 'Spear of Shojin', 'Guardian Angel', 'Warding Totem']",EmptyIcon,Pickaxe,Ninja Tabi,The Black Cleaver,Spear of Shojin,Guardian Angel
