,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2013-06-05,Champions 2013 Spring,SK Telecom T1 2,CJ Entus Frost,Win,CJ Entus Frost,SK Telecom T1 2,Red,45:45,Karthus,Kha'Zix,7,6,11,3.0,366,17.9,,-8,Exhaust,Flash,"[""Seraph's Embrace"", ""Zhonya's Hourglass"", 'Rod of Ages', 'Needlessly Large Rod', ""Sorcerer's Shoes - Homeguard"", 'Void Staff']",Seraph's Embrace,Zhonya's Hourglass,Rod of Ages,Needlessly Large Rod,Sorcerer's Shoes - Homeguard,Void Staff
1,2013-06-05,Champions 2013 Spring,SK Telecom T1 2,CJ Entus Frost,Win,SK Telecom T1 2,CJ Entus Frost,Blue,30:50,Kha'Zix,Diana,8,1,7,15.0,302,14.7,,76,Ignite,Flash,"['Muramana', 'Crystalline Flask', 'Maw of Malmortius', 'Boots of Mobility - Homeguard', 'Last Whisper', 'The Black Cleaver']",Muramana,Crystalline Flask,Maw of Malmortius,Boots of Mobility - Homeguard,Last Whisper,The Black Cleaver
2,2013-06-05,Champions 2013 Spring,SK Telecom T1 2,CJ Entus Frost,Win,CJ Entus Frost,SK Telecom T1 2,Red,31:29,Karthus,Kha'Zix,8,3,7,5.0,305,15.0,,33,Exhaust,Flash,"[""Seraph's Embrace"", 'Crystalline Flask', ""Seeker's Armguard"", 'Rod of Ages', ""Sorcerer's Shoes"", ""Rabadon's Deathcap""]",Seraph's Embrace,Crystalline Flask,Seeker's Armguard,Rod of Ages,Sorcerer's Shoes,Rabadon's Deathcap
3,2013-05-29,Champions 2013 Spring,SK Telecom T1 2,MVP Ozone,Loss,MVP Ozone,SK Telecom T1 2,Red,36:34,Ryze,Karthus,7,6,8,2.5,317,13.8,,34,Ignite,Flash,"[""Seraph's Embrace"", 'Spirit Visage', 'Rod of Ages', ""Sorcerer's Shoes - Homeguard"", 'Void Staff', 'EmptyIcon']",Seraph's Embrace,Spirit Visage,Rod of Ages,Sorcerer's Shoes - Homeguard,Void Staff,EmptyIcon
4,2013-05-29,Champions 2013 Spring,SK Telecom T1 2,MVP Ozone,Loss,SK Telecom T1 2,MVP Ozone,Blue,40:43,Orianna,Ryze,6,5,9,3.0,298,13.4,,-6,Ignite,Flash,"['Crystalline Flask', ""Mejai's Soulstealer"", ""Athene's Unholy Grail"", ""Rabadon's Deathcap"", ""Sorcerer's Shoes - Homeguard"", 'Void Staff']",Crystalline Flask,Mejai's Soulstealer,Athene's Unholy Grail,Rabadon's Deathcap,Sorcerer's Shoes - Homeguard,Void Staff
5,2013-05-29,Champions 2013 Spring,SK Telecom T1 2,MVP Ozone,Win,MVP Ozone,SK Telecom T1 2,Red,36:08,Ryze,Orianna,13,2,6,9.5,291,17.4,,19,Ignite,Flash,"[""Seraph's Embrace"", 'Rod of Ages', ""Sorcerer's Shoes"", 'Spirit Visage', 'Void Staff', 'Guardian Angel']",Seraph's Embrace,Rod of Ages,Sorcerer's Shoes,Spirit Visage,Void Staff,Guardian Angel
6,2013-05-29,Champions 2013 Spring,SK Telecom T1 2,MVP Ozone,Loss,SK Telecom T1 2,MVP Ozone,Blue,33:07,Karthus,Kha'Zix,5,5,4,1.8,342,12.8,,41,Exhaust,Flash,"[""Seraph's Embrace"", ""Rabadon's Deathcap"", 'Rod of Ages', ""Sorcerer's Shoes"", 'Amplifying Tome', 'Blasting Wand']",Seraph's Embrace,Rabadon's Deathcap,Rod of Ages,Sorcerer's Shoes,Amplifying Tome,Blasting Wand
7,2013-05-08,Champions 2013 Spring,SK Telecom T1 2,NaJin Shield,Win,SK Telecom T1 2,NaJin Shield,Blue,37:07,Orianna,Karthus,5,2,11,8.0,248,13.3,,31,Ignite,Flash,"[""Athene's Unholy Grail"", ""Sorcerer's Shoes - Homeguard"", ""Doran's Ring"", 'Haunting Guise', 'Void Staff', 'Needlessly Large Rod']",Athene's Unholy Grail,Sorcerer's Shoes - Homeguard,Doran's Ring,Haunting Guise,Void Staff,Needlessly Large Rod
8,2013-05-08,Champions 2013 Spring,SK Telecom T1 2,NaJin Shield,Win,NaJin Shield,SK Telecom T1 2,Red,30:25,Jayce,Diana,14,3,12,8.67,229,14.6,,52,Ignite,Flash,"['Muramana', 'Maw of Malmortius', 'The Black Cleaver', 'Ionian Boots of Lucidity', 'Last Whisper', 'EmptyIcon']",Muramana,Maw of Malmortius,The Black Cleaver,Ionian Boots of Lucidity,Last Whisper,EmptyIcon
9,2013-05-08,Champions 2013 Spring,SK Telecom T1 2,NaJin Shield,Win,SK Telecom T1 2,NaJin Shield,Blue,21:04,Orianna,Jayce,5,0,10,15.0,180,8.7,,64,Ignite,Flash,"[""Seraph's Embrace"", 'Cloth Armor', 'Cloth Armor', 'Boots of Speed', 'Void Staff', 'EmptyIcon']",Seraph's Embrace,Cloth Armor,Cloth Armor,Boots of Speed,Void Staff,EmptyIcon
