,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2018-06-10,Asian Games 2018 Q - East,South Korea (National Team),Chinese Taipei (National Team),Win,Chinese Taipei (National Team),South Korea (National Team),Red,26:27,Yasuo,Azir,3,0,4,7.0,313,14.6,,50,Ignite,Flash,"['Quicksilver Sash', 'Broken Stopwatch', 'Infinity Edge', 'Phantom Dancer', 'B. F. Sword', ""Berserker's Greaves"", 'Warding Totem']",Quicksilver Sash,Broken Stopwatch,Infinity Edge,Phantom Dancer,B. F. Sword,Berserker's Greaves
1,2018-06-10,Asian Games 2018 Q - East,South Korea (National Team),China (National Team),Win,South Korea (National Team),China (National Team),Blue,29:26,Galio,Zoe,3,1,4,7.0,275,12.3,,0,Teleport,Flash,"[""Zhonya's Hourglass"", 'Blasting Wand', ""Mercury's Treads"", 'Rod of Ages', 'The Dark Seal', 'Lost Chapter', 'Warding Totem']",Zhonya's Hourglass,Blasting Wand,Mercury's Treads,Rod of Ages,The Dark Seal,Lost Chapter
2,2018-06-10,Asian Games 2018 Q - East,South Korea (National Team),China (National Team),Loss,China (National Team),South Korea (National Team),Red,38:22,Singed,Irelia,0,2,0,0.0,317,12.1,,-92,Ignite,Flash,"[""Shurelya's Reverie"", ""Liandry's Torment"", ""Rylai's Crystal Scepter"", 'Ninja Tabi', 'The Dark Seal', 'Fiendish Codex', 'Warding Totem']",Shurelya's Reverie,Liandry's Torment,Rylai's Crystal Scepter,Ninja Tabi,The Dark Seal,Fiendish Codex
3,2018-06-10,Asian Games 2018 Q - East,South Korea (National Team),Chinese Taipei (National Team),Win,South Korea (National Team),Chinese Taipei (National Team),Blue,39:13,Lulu,Zoe,3,2,10,6.5,353,17.1,,38,Ignite,Flash,"[""Rabadon's Deathcap"", 'Banner of Command', 'Ardent Censer', 'Lich Bane', ""Sorcerer's Shoes"", 'Void Staff', 'Warding Totem']",Rabadon's Deathcap,Banner of Command,Ardent Censer,Lich Bane,Sorcerer's Shoes,Void Staff
4,2018-06-09,Asian Games 2018 Q - East,South Korea (National Team),Hong Kong (National Team),Win,South Korea (National Team),Hong Kong (National Team),Blue,30:22,Ryze,Lulu,7,1,5,12.0,321,15.1,,98,Teleport,Flash,"[""Seraph's Embrace"", 'Void Staff', ""Banshee's Veil"", 'Rod of Ages', ""Mercury's Treads"", 'Needlessly Large Rod', 'Warding Totem']",Seraph's Embrace,Void Staff,Banshee's Veil,Rod of Ages,Mercury's Treads,Needlessly Large Rod
5,2018-06-09,Asian Games 2018 Q - East,South Korea (National Team),Macau (National Team),Win,Macau (National Team),South Korea (National Team),Red,34:07,Jax,Yasuo,7,6,6,2.17,273,14.3,,15,Ignite,Flash,"['Guardian Angel', 'Corrupting Potion', 'Trinity Fusion', ""Berserker's Greaves"", ""Sterak's Gage"", ""Doran's Blade"", 'Warding Totem']",Guardian Angel,Corrupting Potion,Trinity Fusion,Berserker's Greaves,Sterak's Gage,Doran's Blade
6,2018-06-09,Asian Games 2018 Q - East,South Korea (National Team),Japan (National Team),Win,South Korea (National Team),Japan (National Team),Blue,23:36,Taric,Vladimir,0,1,12,12.0,36,7.3,,-158,Heal,Flash,"['Remnant of the Ascended', 'Refillable Potion', ""Mercury's Treads"", 'Ardent Censer', 'Sapphire Crystal', 'Control Ward', 'Oracle Lens']",Remnant of the Ascended,Refillable Potion,Mercury's Treads,Ardent Censer,Sapphire Crystal,Control Ward
7,2018-06-09,Asian Games 2018 Q - East,South Korea (National Team),China (National Team),Win,South Korea (National Team),China (National Team),Blue,32:58,Yasuo,Vladimir,7,1,8,15.0,288,15.3,,-3,Ignite,Flash,"['Broken Stopwatch', ""Berserker's Greaves"", 'Phantom Dancer', 'Infinity Edge', 'B. F. Sword', 'Guardian Angel', 'Warding Totem']",Broken Stopwatch,Berserker's Greaves,Phantom Dancer,Infinity Edge,B. F. Sword,Guardian Angel
8,2018-06-09,Asian Games 2018 Q - East,South Korea (National Team),Chinese Taipei (National Team),Loss,Chinese Taipei (National Team),South Korea (National Team),Red,31:00,Yasuo,Lulu,0,1,3,3.0,309,12.0,,75,Ignite,Flash,"['Guardian Angel', ""Berserker's Greaves"", 'Infinity Edge', 'Phantom Dancer', ""Doran's Blade"", 'Vampiric Scepter', 'Warding Totem']",Guardian Angel,Berserker's Greaves,Infinity Edge,Phantom Dancer,Doran's Blade,Vampiric Scepter
9,2018-06-08,Asian Games 2018 Q - East,South Korea (National Team),Hong Kong (National Team),Win,Hong Kong (National Team),South Korea (National Team),Red,41:26,Lulu,Zoe,5,1,5,10.0,403,17.9,,0,Teleport,Flash,"['Spellbinder', ""Luden's Echo"", 'Ardent Censer', 'Lich Bane', ""Rabadon's Deathcap"", ""Mercury's Treads"", 'Warding Totem']",Spellbinder,Luden's Echo,Ardent Censer,Lich Bane,Rabadon's Deathcap,Mercury's Treads
