,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2018-08-09,LCK 2018 Summer,SK Telecom T1,Kingzone DragonX,Loss,SK Telecom T1,Kingzone DragonX,Blue,39:27,Ryze,Zoe,1,2,1,1.0,426,15.8,,71,Cleanse,Flash,"[""Seraph's Embrace"", 'Spellbinder', ""Mercury's Treads"", 'Void Staff', 'Fiendish Codex', ""Rabadon's Deathcap"", 'Farsight Alteration']",Seraph's Embrace,Spellbinder,Mercury's Treads,Void Staff,Fiendish Codex,Rabadon's Deathcap
1,2018-07-19,LCK 2018 Summer,SK Telecom T1,KT Rolster,Loss,KT Rolster,SK Telecom T1,Red,29:06,Vladimir,Yasuo,0,3,2,0.67,279,9.9,,-53,Ignite,Flash,"['Hextech Protobelt-01', 'Spellbinder', ""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', 'EmptyIcon', 'EmptyIcon', 'Warding Totem']",Hextech Protobelt-01,Spellbinder,Zhonya's Hourglass,Ionian Boots of Lucidity,EmptyIcon,EmptyIcon
2,2018-07-19,LCK 2018 Summer,SK Telecom T1,KT Rolster,Loss,SK Telecom T1,KT Rolster,Blue,35:53,Galio,Malzahar,2,2,4,3.0,387,14.9,,8,Teleport,Flash,"[""Zhonya's Hourglass"", 'The Dark Seal', ""Luden's Echo"", ""Sorcerer's Shoes"", 'Rod of Ages', 'Morellonomicon', 'Warding Totem']",Zhonya's Hourglass,The Dark Seal,Luden's Echo,Sorcerer's Shoes,Rod of Ages,Morellonomicon
3,2018-07-19,LCK 2018 Summer,SK Telecom T1,KT Rolster,Win,KT Rolster,SK Telecom T1,Red,34:49,Ryze,Swain,2,1,3,5.0,372,14.8,,49,Teleport,Flash,"[""Seraph's Embrace"", 'Rod of Ages', 'Stopwatch', 'Ionian Boots of Lucidity', 'Void Staff', 'Needlessly Large Rod', 'Warding Totem']",Seraph's Embrace,Rod of Ages,Stopwatch,Ionian Boots of Lucidity,Void Staff,Needlessly Large Rod
4,2018-07-17,LCK 2018 Summer,SK Telecom T1,MVP,Win,MVP,SK Telecom T1,Red,29:46,Galio,Swain,5,0,6,11.0,301,13.9,,54,Teleport,Flash,"[""Zhonya's Hourglass"", 'Rod of Ages', 'Morellonomicon', 'The Dark Seal', ""Sorcerer's Shoes"", 'Blasting Wand', 'Warding Totem']",Zhonya's Hourglass,Rod of Ages,Morellonomicon,The Dark Seal,Sorcerer's Shoes,Blasting Wand
5,2018-07-17,LCK 2018 Summer,SK Telecom T1,MVP,Win,SK Telecom T1,MVP,Blue,40:30,Galio,Kled,2,1,4,6.0,486,19.0,,157,Teleport,Flash,"[""Zhonya's Hourglass"", ""Luden's Echo"", ""Sorcerer's Shoes"", 'Void Staff', 'Rod of Ages', ""Rabadon's Deathcap"", 'Warding Totem']",Zhonya's Hourglass,Luden's Echo,Sorcerer's Shoes,Void Staff,Rod of Ages,Rabadon's Deathcap
6,2018-07-17,LCK 2018 Summer,SK Telecom T1,MVP,Loss,MVP,SK Telecom T1,Red,49:12,Rumble,Swain,1,3,3,1.33,507,20.1,,95,Smite,Flash,"[""Zhonya's Hourglass"", 'Void Staff', ""Mercury's Treads"", 'Morellonomicon', ""Liandry's Torment"", ""Rabadon's Deathcap"", 'Oracle Lens']",Zhonya's Hourglass,Void Staff,Mercury's Treads,Morellonomicon,Liandry's Torment,Rabadon's Deathcap
7,2018-07-13,LCK 2018 Summer,SK Telecom T1,Hanwha Life Esports,Loss,Hanwha Life Esports,SK Telecom T1,Red,31:29,Irelia,Swain,0,4,4,1.0,250,10.2,,9,Ignite,Flash,"['Broken Stopwatch', ""Sterak's Gage"", 'Trinity Force (0.9.25.21 - 10.22)', 'EmptyIcon', 'Ninja Tabi', 'Cloth Armor', 'Warding Totem']",Broken Stopwatch,Sterak's Gage,Trinity Force (0.9.25.21 - 10.22),EmptyIcon,Ninja Tabi,Cloth Armor
8,2018-07-13,LCK 2018 Summer,SK Telecom T1,Hanwha Life Esports,Loss,SK Telecom T1,Hanwha Life Esports,Blue,31:10,Yasuo,Talon,3,1,1,4.0,341,12.9,,-23,Ignite,Flash,"['Guardian Angel', ""Berserker's Greaves"", 'Infinity Edge', 'Phantom Dancer', 'Control Ward', 'B. F. Sword', 'Warding Totem']",Guardian Angel,Berserker's Greaves,Infinity Edge,Phantom Dancer,Control Ward,B. F. Sword
9,2018-07-13,LCK 2018 Summer,SK Telecom T1,Hanwha Life Esports,Win,Hanwha Life Esports,SK Telecom T1,Red,33:06,Galio,Swain,1,1,11,12.0,331,14.4,,45,Teleport,Flash,"['The Dark Seal', ""Luden's Echo"", 'Fiendish Codex', 'Rod of Ages', ""Mercury's Treads"", ""Rabadon's Deathcap"", 'Warding Totem']",The Dark Seal,Luden's Echo,Fiendish Codex,Rod of Ages,Mercury's Treads,Rabadon's Deathcap
10,2018-06-30,LCK 2018 Summer,SK Telecom T1,Bbq Olivers,Win,SK Telecom T1,Bbq Olivers,Blue,39:54,Poppy,Irelia,5,3,3,2.67,362,17.3,,-5,Ignite,Flash,"['Gargoyle Stoneplate', 'Corrupting Potion', 'Sunfire Cape', 'Trinity Force (0.9.25.21 - 10.22)', 'Frozen Heart', 'Ninja Tabi', 'Warding Totem']",Gargoyle Stoneplate,Corrupting Potion,Sunfire Cape,Trinity Force (0.9.25.21 - 10.22),Frozen Heart,Ninja Tabi
11,2018-06-30,LCK 2018 Summer,SK Telecom T1,Bbq Olivers,Win,Bbq Olivers,SK Telecom T1,Red,34:26,Irelia,Zoe,3,1,8,11.0,385,15.7,,65,Ignite,Flash,"['Mercurial Scimitar', 'Broken Stopwatch', 'Trinity Force (0.9.25.21 - 10.22)', ""Sterak's Gage"", ""Executioner's Calling"", ""Mercury's Treads"", 'Warding Totem']",Mercurial Scimitar,Broken Stopwatch,Trinity Force (0.9.25.21 - 10.22),Sterak's Gage,Executioner's Calling,Mercury's Treads
