,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,2022-05-29,MSI 2022,T1,Royal Never Give Up,Loss,Royal Never Give Up,T1,Red,25:40,Ahri,Lissandra,0,5,2,0.4,210,8.3,7,-9,Cleanse,Flash,"['Everfrost', 'Corrupting Potion', 'Broken Stopwatch', 'Ionian Boots of Lucidity', 'Needlessly Large Rod', 'Oblivion Orb', 'Oracle Lens']",Everfrost,Corrupting Potion,Broken Stopwatch,Ionian Boots of Lucidity,Needlessly Large Rod,Oblivion Orb
1,2022-05-29,MSI 2022,T1,Royal Never Give Up,Win,T1,Royal Never Give Up,Blue,29:50,LeBlanc,Ahri,4,0,2,6.0,252,11.4,11.7,7,Teleport,Flash,"['Corrupting Potion', ""Mercury's Treads"", 'Needlessly Large Rod', ""Luden's Tempest"", 'Void Staff', 'Dark Seal', 'Oracle Lens']",Corrupting Potion,Mercury's Treads,Needlessly Large Rod,Luden's Tempest,Void Staff,Dark Seal
2,2022-05-29,MSI 2022,T1,Royal Never Give Up,Loss,Royal Never Give Up,T1,Red,28:19,Ahri,Lissandra,3,3,2,1.67,209,9.8,11.1,-10,Cleanse,Flash,"['Everfrost', 'Corrupting Potion', 'Control Ward', ""Mercury's Treads"", ""Rabadon's Deathcap"", 'Dark Seal', 'Oracle Lens']",Everfrost,Corrupting Potion,Control Ward,Mercury's Treads,Rabadon's Deathcap,Dark Seal
3,2022-05-29,MSI 2022,T1,Royal Never Give Up,Win,T1,Royal Never Give Up,Blue,26:06,Lissandra,Ahri,3,0,6,9.0,234,11.6,13.8,-4,Teleport,Flash,"['Everfrost', 'Corrupting Potion', ""Zhonya's Hourglass"", 'Needlessly Large Rod', ""Mejai's Soulstealer"", 'Ionian Boots of Lucidity', 'Oracle Lens']",Everfrost,Corrupting Potion,Zhonya's Hourglass,Needlessly Large Rod,Mejai's Soulstealer,Ionian Boots of Lucidity
4,2022-05-29,MSI 2022,T1,Royal Never Give Up,Loss,Royal Never Give Up,T1,Red,33:13,Azir,Galio,0,3,5,1.67,280,11.7,12.3,66,Teleport,Flash,"[""Zhonya's Hourglass"", ""Liandry's Anguish"", 'Control Ward', 'Void Staff', 'EmptyIcon', ""Sorcerer's Shoes"", 'Farsight Alteration']",Zhonya's Hourglass,Liandry's Anguish,Control Ward,Void Staff,EmptyIcon,Sorcerer's Shoes
5,2022-05-28,MSI 2022,T1,G2 Esports,Win,G2 Esports,T1,Red,20:43,Akali,Zoe,5,1,5,10.0,146,8.3,9.9,13,Teleport,Flash,"['Hextech Rocketbelt', 'Needlessly Large Rod', 'EmptyIcon', 'Hextech Alternator', 'EmptyIcon', ""Sorcerer's Shoes"", 'Oracle Lens']",Hextech Rocketbelt,Needlessly Large Rod,EmptyIcon,Hextech Alternator,EmptyIcon,Sorcerer's Shoes
6,2022-05-28,MSI 2022,T1,G2 Esports,Win,G2 Esports,T1,Red,32:12,LeBlanc,Ahri,8,3,5,4.33,279,14.9,16.1,9,Ignite,Flash,"['Corrupting Potion', ""Luden's Tempest"", ""Rabadon's Deathcap"", ""Mercury's Treads"", 'Void Staff', 'Fiendish Codex', 'Oracle Lens']",Corrupting Potion,Luden's Tempest,Rabadon's Deathcap,Mercury's Treads,Void Staff,Fiendish Codex
7,2022-05-28,MSI 2022,T1,G2 Esports,Win,T1,G2 Esports,Blue,24:11,Tristana,Galio,5,1,2,7.0,225,13.3,10.6,73,Ignite,Flash,"['Galeforce', 'Infinity Edge', 'Tear of the Goddess', ""Lord Dominik's Regards"", ""Berserker's Greaves"", 'EmptyIcon', 'Farsight Alteration']",Galeforce,Infinity Edge,Tear of the Goddess,Lord Dominik's Regards,Berserker's Greaves,EmptyIcon
8,2022-05-24,MSI 2022,T1,Royal Never Give Up,Win,T1,Royal Never Give Up,Blue,32:30,Ahri,Twisted Fate,2,1,5,7.0,292,12.6,12,0,Teleport,Flash,"['Everfrost', 'Corrupting Potion', 'Morellonomicon', 'Dark Seal', 'Horizon Focus', ""Mercury's Treads"", 'Oracle Lens']",Everfrost,Corrupting Potion,Morellonomicon,Dark Seal,Horizon Focus,Mercury's Treads
9,2022-05-24,MSI 2022,T1,Saigon Buffalo,Win,Saigon Buffalo,T1,Red,23:26,Twisted Fate,Galio,3,1,11,14.0,192,10.5,8.4,12,Teleport,Flash,"['Everfrost', 'Corrupting Potion', 'Broken Stopwatch', 'Rapid Firecannon', 'Fiendish Codex', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Everfrost,Corrupting Potion,Broken Stopwatch,Rapid Firecannon,Fiendish Codex,Ionian Boots of Lucidity
