Champion,Games,Wins,WR,K,D,A,KDA,Average CSD,Average Dmg,CS/M,Gold/M,Average Game Time
Aatrox,2,1,50.0%,2.0,1.5,4.0,4.0,44.5,,9.64,395.3,36:25
Ahri,43,31,72.1%,4.0,2.0,6.0,5.0,9.8,13435,8.72,386.0,31:51
Akali,28,18,64.3%,3.9,1.9,3.6,4.04,-3.2,15100,8.93,411.1,31:30
Anivia,10,8,80.0%,3.6,1.2,6.4,8.33,35.9,,9.28,420.9,39:49
Azir,118,78,66.1%,3.3,2.1,5.1,3.99,25.9,18205,9.28,422.8,34:17
Camille,2,1,50.0%,1.5,2.0,6.0,3.75,36.5,,9.24,406.2,32:15
Cassiopeia,31,24,77.4%,3.4,1.8,4.1,4.22,39.1,,9.18,419.5,34:57
Corki,46,34,73.9%,3.1,1.7,4.2,4.33,34.1,24100,9.81,441.5,34:28
Darius,1,0,0.0%,0.0,2.0,4.0,2.0,23.0,,8.44,365.8,37:27
Diana,4,4,100.0%,6.0,0.8,4.2,13.67,35.8,,9.3,440.2,29:45
Ekko,8,4,50.0%,4.0,2.8,4.5,3.09,2.8,13000,9.15,416.0,34:08
Ezreal,11,9,81.8%,5.4,1.4,6.5,8.73,40.2,,9.18,356.6,32:13
Fizz,10,9,90.0%,5.0,2.2,5.1,4.59,4.5,,8.7,423.2,37:35
Galio,51,33,64.7%,2.2,1.9,6.3,4.45,-3.1,12808,9.18,396.5,34:35
Gangplank,3,1,33.3%,1.7,4.0,4.3,1.5,-10.7,,8.75,414.4,38:22
Gragas,9,7,77.8%,4.9,1.6,4.2,5.86,35.2,,9.23,356.3,31:14
Irelia,11,6,54.5%,3.1,2.5,3.7,2.78,15.7,5700,8.96,395.9,29:25
Jax,2,1,50.0%,4.5,5.0,4.0,1.7,102.0,,8.35,393.3,30:53
Jayce,7,5,71.4%,5.0,2.4,6.0,4.53,21.3,21200,8.38,348.3,34:49
Kai'Sa,2,1,50.0%,3.0,3.5,5.0,2.29,-33.0,28200,7.48,360.8,35:37
Karma,25,11,44.0%,1.8,2.2,5.5,3.35,-7.0,11367,7.93,349.7,36:07
Karthus,7,4,57.1%,6.4,4.6,7.4,3.03,6.0,,8.83,335.8,36:17
Kassadin,25,14,56.0%,4.1,2.2,4.8,4.02,9.4,16000,8.57,367.8,37:39
Katarina,4,3,75.0%,6.2,2.0,4.5,5.38,9.8,,8.05,423.3,34:33
Kha'Zix,2,2,100.0%,7.5,2.0,5.0,6.25,88.5,,9.82,245.4,29:57
Kog'Maw,4,3,75.0%,5.0,1.8,4.8,5.57,48.5,,9.95,86.8,41:29
LeBlanc,55,45,81.8%,4.8,1.6,4.9,6.01,8.5,18161,7.99,388.8,34:08
Lee Sin,2,2,100.0%,5.5,2.0,6.5,6.0,-19.5,14750,7.69,429.8,28:16
Lissandra,44,35,79.5%,3.0,2.5,6.8,4.0,22.9,12908,8.95,357.7,34:37
Lucian,10,8,80.0%,3.1,1.9,3.7,3.58,31.6,14900,10.09,455.2,33:19
Lulu,34,19,55.9%,3.1,2.0,6.4,4.72,3.6,17300,8.45,383.6,36:05
