,Champion,G,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KP,KS,GS
0,Azir,118,78,40,66.1%,3.34,2.11,5.08,3.99,318.27,9.28,14.5,423,-,-,63.8%,25.3%,22.8%
1,Ryze,77,49,28,63.6%,3.56,2.09,5.01,4.1,331.69,9.48,-,-,-,-,-,-,-
2,Orianna,73,47,26,64.4%,3.48,2.26,6.34,4.35,325.26,-,-,-,-,-,-,-,-
3,LeBlanc,58,48,10,82.8%,4.95,1.67,5.07,5.99,269.64,7.92,-,-,-,-,-,-,-
4,Galio,52,34,18,65.4%,2.29,1.96,6.25,4.35,316.96,9.16,13.8,397,-,-,72.1%,19.3%,21.3%
5,Corki,46,34,12,73.9%,3.11,1.7,4.24,4.33,338.26,9.81,15.2,441,-,-,64%,27.1%,23.4%
6,Lissandra,44,35,9,79.5%,2.98,2.45,6.84,4,309.98,8.95,-,-,-,-,-,-,-
7,Ahri,44,32,12,72.7%,4.05,1.98,5.93,5.05,278.18,8.72,-,-,-,-,-,-,-
8,Viktor,43,32,11,74.4%,4.74,2.4,5.37,4.22,351.98,9.15,16.4,426,-,-,69.3%,32.5%,23.4%
9,Lulu,38,23,15,60.5%,3.45,1.84,6.76,5.54,301.61,8.41,-,-,-,-,-,-,-
10,Zoe,33,19,14,57.6%,2.88,1.52,4.88,5.12,289.7,8.42,13.3,388,-,-,67.2%,24.9%,21.4%
11,Twisted Fate,32,23,9,71.9%,3.22,2.03,6.91,4.98,286.72,8.53,-,-,-,-,-,-,-
12,Cassiopeia,31,24,7,77.4%,3.35,1.77,4.13,4.22,320.94,9.18,14.7,420,-,-,60.6%,27.2%,22.4%
13,Akali,28,18,10,64.3%,3.89,1.86,3.61,4.04,281.32,8.93,13,411,-,-,54.4%,28.2%,21.9%
14,Kassadin,25,14,11,56%,4.08,2.2,4.76,4.02,322.64,8.57,-,-,-,-,-,-,-
15,Karma,25,11,14,44%,1.84,2.2,5.52,3.35,286.68,7.93,-,-,-,-,-,-,-
16,Taliyah,24,17,7,70.8%,3.38,1.88,4.88,4.4,336.42,9.5,15.1,426,-,-,63.9%,26.1%,22.5%
17,Sylas,18,11,7,61.1%,3.06,2.39,4.44,3.14,283.56,8.67,13,398,-,-,56.5%,23%,21.6%
18,Yasuo,15,9,6,60%,4.87,1.93,4.73,4.97,288.33,9.44,-,-,-,-,-,-,-
19,Syndra,13,10,3,76.9%,4.54,3.08,4.15,2.83,313.85,9.22,-,-,-,-,-,-,-
20,Neeko,13,9,4,69.2%,2,1.62,6.15,5.05,288.77,8.72,13.1,395,-,-,64.6%,15.9%,21.3%
21,Zed,12,11,1,91.7%,6.25,2.83,6.08,4.35,263.83,8.33,-,-,-,-,-,-,-
22,Ezreal,11,9,2,81.8%,5.36,1.36,6.55,8.73,295.91,9.18,-,-,-,-,-,-,-
