,Unnamed: 0,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
0,0,2022-11-06,Worlds 2022 Main Event,T1,DRX,Loss,T1,DRX,Blue,42:09,Viktor,Azir,2,5,4,1.2,325,15.4,22.5,-62,Teleport,Flash,"['Control Ward', 'Void Staff', ""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', 'Lich Bane', ""Luden's Tempest"", 'Farsight Alteration']",Control Ward,Void Staff,Zhonya's Hourglass,Ionian Boots of Lucidity,Lich Bane,Luden's Tempest
1,1,2022-11-06,Worlds 2022 Main Event,T1,DRX,Loss,DRX,T1,Red,28:45,Akali,Azir,0,3,0,0.0,236,9.3,9.0,-55,Teleport,Flash,"['Hextech Rocketbelt', 'Control Ward', 'Stopwatch', ""Sorcerer's Shoes"", 'Shadowflame', ""Doran's Shield"", 'Oracle Lens']",Hextech Rocketbelt,Control Ward,Stopwatch,Sorcerer's Shoes,Shadowflame,Doran's Shield
2,2,2022-11-06,Worlds 2022 Main Event,T1,DRX,Win,T1,DRX,Blue,32:12,Azir,Sylas,3,5,1,0.8,252,12.7,21.8,-25,Teleport,Flash,"['Void Staff', ""Liandry's Anguish"", 'Control Ward', ""Sorcerer's Shoes"", 'Shadowflame', 'Needlessly Large Rod', 'Farsight Alteration']",Void Staff,Liandry's Anguish,Control Ward,Sorcerer's Shoes,Shadowflame,Needlessly Large Rod
3,3,2022-11-06,Worlds 2022 Main Event,T1,DRX,Loss,DRX,T1,Red,46:12,Viktor,Sylas,4,5,2,1.2,406,19.1,43.9,-9,Teleport,Flash,"['Void Staff', 'Lich Bane', ""Zhonya's Hourglass"", 'Ionian Boots of Lucidity', 'Crown of the Shattered Queen', ""Rabadon's Deathcap"", 'Farsight Alteration']",Void Staff,Lich Bane,Zhonya's Hourglass,Ionian Boots of Lucidity,Crown of the Shattered Queen,Rabadon's Deathcap
4,4,2022-11-06,Worlds 2022 Main Event,T1,DRX,Win,T1,DRX,Blue,31:11,Azir,Sylas,6,1,4,10.0,306,15.0,26.0,21,Teleport,Flash,"[""Sorcerer's Shoes"", ""Rabadon's Deathcap"", 'EmptyIcon', 'Morellonomicon', 'Crown of the Shattered Queen', 'Void Staff', 'Farsight Alteration']",Sorcerer's Shoes,Rabadon's Deathcap,EmptyIcon,Morellonomicon,Crown of the Shattered Queen,Void Staff
5,5,2022-10-30,Worlds 2022 Main Event,T1,JD Gaming,Win,JD Gaming,T1,Red,24:54,Azir,Sylas,3,3,11,4.67,205,10.9,19.8,36,Teleport,Flash,"['Oblivion Orb', 'Void Staff', 'Broken Stopwatch', ""Liandry's Anguish"", 'Dark Seal', ""Sorcerer's Shoes"", 'Farsight Alteration']",Oblivion Orb,Void Staff,Broken Stopwatch,Liandry's Anguish,Dark Seal,Sorcerer's Shoes
6,6,2022-10-29,Worlds 2022 Main Event,T1,JD Gaming,Win,JD Gaming,T1,Red,30:54,Ryze,Azir,7,3,5,4.0,284,14.6,20.2,11,Teleport,Flash,"['Everfrost', 'EmptyIcon', ""Zhonya's Hourglass"", ""Seraph's Embrace"", ""Mercury's Treads"", ""Rabadon's Deathcap"", 'Oracle Lens']",Everfrost,EmptyIcon,Zhonya's Hourglass,Seraph's Embrace,Mercury's Treads,Rabadon's Deathcap
7,7,2022-10-29,Worlds 2022 Main Event,T1,JD Gaming,Win,T1,JD Gaming,Blue,33:60,Ryze,Sylas,0,3,6,2.0,293,14.3,17.9,32,Teleport,Flash,"['Everfrost', 'EmptyIcon', ""Zhonya's Hourglass"", ""Rabadon's Deathcap"", 'Ionian Boots of Lucidity', ""Seraph's Embrace"", 'Oracle Lens']",Everfrost,EmptyIcon,Zhonya's Hourglass,Rabadon's Deathcap,Ionian Boots of Lucidity,Seraph's Embrace
8,8,2022-10-29,Worlds 2022 Main Event,T1,JD Gaming,Loss,T1,JD Gaming,Blue,39:53,Galio,Taliyah,2,5,6,1.6,263,13.2,19.9,-62,Ghost,Flash,"['Everfrost', 'Control Ward', ""Zhonya's Hourglass"", 'Dark Seal', ""Rabadon's Deathcap"", ""Mercury's Treads"", 'Oracle Lens']",Everfrost,Control Ward,Zhonya's Hourglass,Dark Seal,Rabadon's Deathcap,Mercury's Treads
9,9,2022-10-21,Worlds 2022 Main Event,T1,Royal Never Give Up,Win,Royal Never Give Up,T1,Red,26:33,Akali,Sylas,7,3,7,4.67,193,11.1,20.3,0,Teleport,Flash,"['Hextech Rocketbelt', ""Seeker's Armguard"", 'Broken Stopwatch', ""Sorcerer's Shoes"", 'Morellonomicon', 'Dark Seal', 'Oracle Lens']",Hextech Rocketbelt,Seeker's Armguard,Broken Stopwatch,Sorcerer's Shoes,Morellonomicon,Dark Seal
