,Date,Pl,Event,Last Result,Team,Roster,Tournament Number
0,2022-11-05,2,Worlds 2022,2: 3 DRX,⁠⁠T1,"Zeus, Oner, Faker, Gumayusi, Keria, Bengi, moment",72
1,2022-08-28,2,LCK 2022 Summer Playoffs,0: 3 GEN,⁠⁠T1,"Zeus, Oner, Faker, Gumayusi, Keria, Polt, moment",71
2,2022-08-14,2,LCK 2022 Summer,15 - 3 RR,⁠⁠T1,"Zeus, Oner, Faker, Gumayusi, Keria, Polt, moment",70
3,2022-05-29,2,MSI 2022,2: 3 RNG,⁠⁠T1,"Zeus, Oner, Faker, Gumayusi, Keria, Polt, moment",69
4,2022-04-02,1,LCK 2022 Spring Playoffs,3: 1 GEN,⁠⁠T1,"Zeus, Oner, Faker, Gumayusi, Keria, Polt, moment",68
5,2022-03-20,1,LCK 2022 Spring,18 - 0 RR,⁠⁠T1,"Zeus, Oner, Faker, Gumayusi, Keria, Polt, moment",67
6,2021-10-30,3 - 4,Worlds 2021,2: 3 DK,⁠⁠T1,"Canna, Oner, Faker, Gumayusi, Keria, Stardust, Moment",66
7,2021-09-02,1,LCK 2021 Regional Finals,3: 2 HLE,⁠⁠T1,"Canna, Oner, Faker, Gumayusi, Keria, Stardust, Moment",65
8,2021-08-28,2,LCK 2021 Summer Playoffs,1: 3 DK,⁠⁠T1,"Canna, Oner, Faker, Teddy, Gumayusi, Keria, Stardust, Moment",64
9,2021-08-15,4,LCK 2021 Summer,11 - 7 RR,⁠⁠T1,"Canna, Cuzz, Oner, Faker, Teddy, Gumayusi, Keria, Daeny, Zefa, Stardust, Moment",63
10,2021-04-04,4,LCK 2021 Spring Playoffs,0: 3 GEN,⁠⁠T1,"Canna, Cuzz, Faker, Teddy, Keria, Daeny, Zefa",62
11,2021-03-28,4,LCK 2021 Spring,11 - 7 RR,⁠⁠T1,"Canna, Zeus, Ellim, Cuzz, Oner, Clozer, Faker, Gumayusi, Teddy, Keria, Daeny, Zefa",61
12,2020-09-09,2,LCK 2020 Regional Finals,0: 3 GEN,⁠⁠T1,"Canna, Ellim, Faker, Gumayusi, Effort, Kim, Comet",60
13,2020-08-26,5,LCK 2020 Summer Playoffs,1: 2 AF,⁠⁠T1,"Canna, Cuzz, Clozer, Faker, Teddy, Effort, Kim, Comet",59
14,2020-08-23,4,LCK 2020 Summer,13 - 5 RR,⁠⁠T1,"Canna, Cuzz, Ellim, Faker, Clozer, Teddy, Effort, Kuri, Kim, Comet",58
15,2020-05-28,7 - 8,Mid-Season Cup 2020,1 - 2 RR,⁠⁠T1,"Canna, Cuzz, Faker, Teddy, Effort, Kim, Comet",57
16,2020-04-25,1,LCK 2020 Spring Playoffs,3: 0 GEN,⁠⁠T1,"Canna, Cuzz, Faker, Teddy, Effort, Kim, Comet",56
17,2020-04-16,2,LCK 2020 Spring,14 - 4 RR,⁠⁠T1,"Roach, Canna, Cuzz, Ellim, Faker, Teddy, Effort, Kim, Comet",55
18,2020-01-03,3 - 4,KeSPA Cup 2019,1: 3 SB,⁠⁠T1,"Canna, Roach, Cuzz, Faker, Teddy, Effort, Kuri, Kim, Comet",54
19,2019-11-03,3 - 4,Worlds 2019,1: 3 G2,⁠⁠SKT,"Khan, Clid, Faker, Teddy, Effort, Mata, Zefa",53
20,2019-08-31,1,LCK 2019 Summer Playoffs,3: 1 GRF,⁠⁠SKT,"Khan, Clid, Faker, Teddy, Effort, Zefa, Fly",52
21,2019-08-18,4,LCK 2019 Summer,11 - 7 RR,⁠⁠SKT,"Khan, Clid, Haru, Faker, Gori, Teddy, Mata, Effort, Zefa, Fly, kkOma",51
22,2019-07-07,1,Rift Rivals 2019 LCK-LPL-LMS-VCS,3: 1 LPL,⁠⁠SKT,"Khan, Clid, Faker, Teddy, Mata, kkOma",50
23,2019-05-18,3 - 4,MSI 2019,2: 3 G2,⁠⁠SKT,"Khan, Clid, Faker, Teddy, Mata, Zefa",49
24,2019-04-13,1,LCK 2019 Spring Playoffs,3: 0 GRF,⁠⁠SKT,"Khan, Clid, Faker, Teddy, Mata, Zefa, Fly",48
25,2019-03-31,2,LCK 2019 Spring,14 - 4 RR,⁠⁠SKT,"Khan, Clid, Faker, Teddy, Mata, Zefa, Fly",47
26,2018-12-27,5 - 8,KeSPA Cup 2018,1: 2 DWG,⁠⁠SKT,"Khan, Clid, Faker, Teddy, Mata, Zefa, Fly",46
